Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
maltol,CP00007605,LMNA,9606,associate
maltol,CP00007605,KDM4E,9606,associate
maltol,CP00007605,GLO1,9606,inhibit
maltol,CP00007605,ALOX5,9606,associate
maltol,CP00007605,MMP8,9606,associate
maltol,CP00007605,MMP3,9606,associate
maltol,CP00007605,Nos2,10090,associate
maltol,CP00007605,MMP2,9606,associate
maltol,CP00007605,pxo1_107,1392,associate
maltol,CP00007605,MMP1,9606,associate
maltol,CP00007605,MMP9,9606,associate
maltol,CP00007605,KDM4A,9606,associate
maltol,CP00007605,EHMT2,9606,associate
maltol,CP00007605,BAZ2B,9606,associate
maltol,CP00007605,LARP6,9606,inhibit
maltol,CP00007605,SLCO1B1,9606,associate
maltol,CP00007605,SLCO1B3,9606,associate
maltol,CP00007605,AR,9606,associate
maltol,CP00007605,PTH1R,9606,associate
maltol,CP00007605,NFE2L2,9606,associate
maltol,CP00007605,H6PD,9606,associate
maltol,CP00007605,F3,9606,associate
maltol,CP00007605,FANCC,9606,associate
maltol,CP00007605,PROS1,9606,associate
maltol,CP00007605,JAK2,9606,associate
maltol,CP00007605,F8,9606,associate
maltol,CP00007605,GABRA1,9606,associate
maltol,CP00007605,NEFM,9606,associate
maltol,CP00007605,TFCP2,9606,associate
maltol,CP00007605,F5,9606,associate
maltol,CP00007605,NUP214,9606,associate
maltol,CP00007605,CASK,9606,associate
maltol,CP00007605,CCT4,9606,associate
maltol,CP00007605,F2,9606,associate
maltol,CP00007605,INS-IGF2,9606,associate
maltol,CP00007605,TNIP1,9606,associate
maltol,CP00007605,GABRB1,9606,associate
maltol,CP00007605,NEFH,9606,associate
maltol,CP00007605,MAP2,9606,associate
maltol,CP00007605,KLK6,9606,associate
maltol,CP00007605,PROC,9606,associate
maltol,CP00007605,GALT,9606,associate
maltol,CP00007605,TF,9606,associate
maltol,CP00007605,EVL,9606,associate
maltol,CP00007605,DSE,9606,associate
maltol,CP00007605,CYP1A1,9606,associate
maltol,CP00007605,MRPS7,9606,associate
maltol,CP00007605,RBL2,9606,associate
maltol,CP00007605,MORF4L1,9606,associate
maltol,CP00007605,AHR,9606,associate
maltol,CP00007605,PAGR1,9606,associate
maltol,CP00007605,DTD1,9606,associate
maltol,CP00007605,MTHFR,9606,associate
maltol,CP00007605,SERPINC1,9606,associate
maltol,CP00007605,MPZL2,9606,associate
