Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
nodakenetin,CP00022000,NPC1,9606,associate
nodakenetin,CP00022000,GBA,9606,associate
nodakenetin,CP00022000,TP53,9606,associate
nodakenetin,CP00022000,ATAD5,9606,associate
nodakenetin,CP00022000,POLI,9606,associate
nodakenetin,CP00022000,SMPD1,9606,associate
nodakenetin,CP00022000,BRCA1,9606,associate
nodakenetin,CP00022000,CGA,9606,associate
nodakenetin,CP00022000,USP1,9606,associate
nodakenetin,CP00022000,MBNL1,9606,associate
nodakenetin,CP00022000,KCNH1,9606,associate
nodakenetin,CP00022000,VARS,9606,associate
nodakenetin,CP00022000,Txnrd1,10116,associate
nodakenetin,CP00022000,CA9,9606,associate
nodakenetin,CP00022000,HIF1A,9606,associate
nodakenetin,CP00022000,CA12,9606,associate
nodakenetin,CP00022000,CA1,9606,associate
nodakenetin,CP00022000,CA14,9606,associate
nodakenetin,CP00022000,CA7,9606,associate
nodakenetin,CP00022000,CA5B,9606,associate
nodakenetin,CP00022000,CA4,9606,associate
nodakenetin,CP00022000,PGR,9606,associate
nodakenetin,CP00022000,CA5A,9606,associate
nodakenetin,CP00022000,CA13,9606,associate
nodakenetin,CP00022000,CA3,9606,associate
nodakenetin,CP00022000,MAOB,9606,associate
nodakenetin,CP00022000,NR3C1,9606,associate
nodakenetin,CP00022000,AR,9606,associate
nodakenetin,CP00022000,DRD2,9606,associate
nodakenetin,CP00022000,PTGS2,9606,associate
nodakenetin,CP00022000,SLCO1B1,9606,associate
nodakenetin,CP00022000,S1PR4,9606,associate
nodakenetin,CP00022000,PDE10A,9606,associate
nodakenetin,CP00022000,CYP1A2,9606,associate
nodakenetin,CP00022000,MC4R,9606,associate
nodakenetin,CP00022000,ACHE,9606,associate
nodakenetin,CP00022000,STAT1,9606,associate
nodakenetin,CP00022000,DRD3,9606,associate
nodakenetin,CP00022000,AKT2,9606,associate
nodakenetin,CP00022000,SIGMAR1,9606,associate
nodakenetin,CP00022000,APOBEC3G,9606,associate
nodakenetin,CP00022000,APP,9606,associate
nodakenetin,CP00022000,ESR2,9606,associate
nodakenetin,CP00022000,BRD4,9606,associate
nodakenetin,CP00022000,HDAC4,9606,associate
nodakenetin,CP00022000,CA2,9606,associate
nodakenetin,CP00022000,ESR1,9606,associate
nodakenetin,CP00022000,DAO,9606,associate
nodakenetin,CP00022000,OPRM1,9606,associate
nodakenetin,CP00022000,CHEK2,9606,associate
nodakenetin,CP00022000,HDAC2,9606,associate
nodakenetin,CP00022000,HDAC8,9606,associate
nodakenetin,CP00022000,GSR,9606,associate
nodakenetin,CP00022000,TYMS,9606,associate
nodakenetin,CP00022000,SHBG,9606,associate
nodakenetin,CP00022000,HSP90AB1,9606,associate
nodakenetin,CP00022000,CA6,9606,associate
nodakenetin,CP00022000,DNMT1,9606,associate
nodakenetin,CP00022000,HSD11B1,9606,associate
nodakenetin,CP00022000,PLK4,9606,associate
nodakenetin,CP00022000,CHRM2,9606,associate
nodakenetin,CP00022000,TGFBR2,9606,associate
nodakenetin,CP00022000,STK4,9606,associate
nodakenetin,CP00022000,VCAM1,9606,associate
nodakenetin,CP00022000,ADCY1,9606,associate
nodakenetin,CP00022000,ADAMTS4,9606,associate
nodakenetin,CP00022000,CFTR,9606,associate
nodakenetin,CP00022000,CYP11B2,9606,associate
nodakenetin,CP00022000,GGPS1,9606,associate
nodakenetin,CP00022000,CACNA1B,9606,associate
nodakenetin,CP00022000,FGF1,9606,associate
nodakenetin,CP00022000,FCER2,9606,associate
nodakenetin,CP00022000,FOLR1,9606,associate
nodakenetin,CP00022000,ALOX5AP,9606,associate
nodakenetin,CP00022000,PDK2,9606,associate
nodakenetin,CP00022000,PHOSPHO1,9606,associate
nodakenetin,CP00022000,TMPRSS11D,9606,associate
nodakenetin,CP00022000,TMPRSS6,9606,associate
nodakenetin,CP00022000,PRKCE,9606,associate
nodakenetin,CP00022000,ITGA4,9606,associate
nodakenetin,CP00022000,SSTR3,9606,associate
nodakenetin,CP00022000,STS,9606,associate
nodakenetin,CP00022000,SSTR5,9606,associate
nodakenetin,CP00022000,WNT3A,9606,associate
nodakenetin,CP00022000,PDE1B,9606,associate
nodakenetin,CP00022000,PLA2G4A,9606,associate
nodakenetin,CP00022000,PLA2G2A,9606,associate
nodakenetin,CP00022000,RELA,9606,associate
nodakenetin,CP00022000,KIF11,9606,associate
nodakenetin,CP00022000,SERPINE1,9606,associate
nodakenetin,CP00022000,TXK,9606,associate
nodakenetin,CP00022000,NAMPT,9606,associate
nodakenetin,CP00022000,CDK8,9606,associate
nodakenetin,CP00022000,NR1H4,9606,associate
nodakenetin,CP00022000,CHRNA3,9606,associate
nodakenetin,CP00022000,CYP51A1,9606,associate
nodakenetin,CP00022000,PKN2,9606,associate
nodakenetin,CP00022000,POLB,9606,associate
nodakenetin,CP00022000,EP300,9606,associate
nodakenetin,CP00022000,TPSAB1,9606,associate
nodakenetin,CP00022000,PIP4K2B,9606,associate
nodakenetin,CP00022000,DLG4,9606,associate
nodakenetin,CP00022000,MIF,9606,associate
nodakenetin,CP00022000,CD74,9606,associate
nodakenetin,CP00022000,PRF1,9606,associate
nodakenetin,CP00022000,KDM4C,9606,associate
nodakenetin,CP00022000,HTR7,9606,associate
nodakenetin,CP00022000,GSK3B,9606,associate
nodakenetin,CP00022000,BMP4,9606,associate
nodakenetin,CP00022000,NEK4,9606,associate
