Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
nodakenin,CP00056875,ALDH1A1,9606,associate
nodakenin,CP00056875,L3MBTL1,9606,associate
nodakenin,CP00056875,HPGD,9606,associate
nodakenin,CP00056875,GAA,9606,associate
nodakenin,CP00056875,ACHE,9606,inhibit
nodakenin,CP00056875,EHMT2,9606,associate
nodakenin,CP00056875,POLI,9606,associate
nodakenin,CP00056875,GLA,9606,associate
nodakenin,CP00056875,SMPD1,9606,associate
nodakenin,CP00056875,GMNN,9606,associate
nodakenin,CP00056875,MBNL1,9606,associate
nodakenin,CP00056875,MTRR,9606,associate
nodakenin,CP00056875,NOS3,9606,associate
nodakenin,CP00056875,NOS2,9606,associate
nodakenin,CP00056875,TYW1,9606,associate
nodakenin,CP00056875,NDOR1,9606,associate
nodakenin,CP00056875,POR,9606,associate
nodakenin,CP00056875,Txnrd1,10116,associate
nodakenin,CP00056875,CA9,9606,associate
nodakenin,CP00056875,CA1,9606,associate
nodakenin,CP00056875,CA7,9606,associate
nodakenin,CP00056875,CA12,9606,associate
nodakenin,CP00056875,HIF1A,9606,associate
nodakenin,CP00056875,SLC5A2,9606,associate
nodakenin,CP00056875,CA13,9606,associate
nodakenin,CP00056875,CA5B,9606,associate
nodakenin,CP00056875,CA14,9606,associate
nodakenin,CP00056875,LGALS3,9606,associate
nodakenin,CP00056875,DNMT1,9606,associate
nodakenin,CP00056875,SLC5A1,9606,associate
nodakenin,CP00056875,VEGFA,9606,associate
nodakenin,CP00056875,CA2,9606,associate
nodakenin,CP00056875,SELL,9606,associate
nodakenin,CP00056875,FGF2,9606,associate
nodakenin,CP00056875,PRKCD,9606,associate
nodakenin,CP00056875,PIM1,9606,associate
nodakenin,CP00056875,CA5A,9606,associate
nodakenin,CP00056875,CNR1,9606,associate
nodakenin,CP00056875,AKR1B1,9606,associate
nodakenin,CP00056875,AR,9606,associate
nodakenin,CP00056875,PTGS2,9606,associate
nodakenin,CP00056875,SELP,9606,associate
nodakenin,CP00056875,CA4,9606,associate
nodakenin,CP00056875,PRKCA,9606,associate
nodakenin,CP00056875,FGF1,9606,associate
nodakenin,CP00056875,PRKCQ,9606,associate
nodakenin,CP00056875,PDE10A,9606,associate
nodakenin,CP00056875,DYRK1B,9606,associate
nodakenin,CP00056875,AMY2A,9606,associate
nodakenin,CP00056875,CA3,9606,associate
nodakenin,CP00056875,HTR2C,9606,associate
nodakenin,CP00056875,PGR,9606,associate
nodakenin,CP00056875,MC4R,9606,associate
nodakenin,CP00056875,CYP1B1,9606,associate
nodakenin,CP00056875,CYP3A4,9606,associate
nodakenin,CP00056875,DRD4,9606,associate
nodakenin,CP00056875,MTOR,9606,associate
nodakenin,CP00056875,NR3C1,9606,associate
nodakenin,CP00056875,P2RX3,9606,associate
nodakenin,CP00056875,ANPEP,9606,associate
nodakenin,CP00056875,MTTP,9606,associate
nodakenin,CP00056875,ESR2,9606,associate
nodakenin,CP00056875,BRD4,9606,associate
nodakenin,CP00056875,NPY1R,9606,associate
nodakenin,CP00056875,PARP1,9606,associate
nodakenin,CP00056875,OPRM1,9606,associate
nodakenin,CP00056875,CHEK2,9606,associate
nodakenin,CP00056875,HDAC2,9606,associate
nodakenin,CP00056875,S1PR2,9606,associate
nodakenin,CP00056875,HDAC8,9606,associate
nodakenin,CP00056875,GSR,9606,associate
nodakenin,CP00056875,TYMS,9606,associate
nodakenin,CP00056875,CHRM1,9606,associate
nodakenin,CP00056875,TOP1,9606,associate
nodakenin,CP00056875,CNR2,9606,associate
