Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
quinic acid,CP00005845,KDM4A,9606,associate
quinic acid,CP00005845,GMNN,9606,associate
quinic acid,CP00005845,APP,9606,inhibit
quinic acid,CP00005845,APP,9606,associate
quinic acid,CP00005845,SLCO1B3,9606,associate
quinic acid,CP00005845,SLCO1B1,9606,associate
quinic acid,CP00005845,OTC,9606,associate
quinic acid,CP00005845,ASNS,9606,associate
quinic acid,CP00005845,PGRMC1,9606,associate
quinic acid,CP00005845,ZNF263,9606,associate
quinic acid,CP00005845,RPA3,9606,associate
quinic acid,CP00005845,PIGL,9606,associate
quinic acid,CP00005845,SCGB2A2,9606,associate
quinic acid,CP00005845,NUDT12,9606,associate
quinic acid,CP00005845,CAT,9606,associate
quinic acid,CP00005845,SCGB2A1,9606,associate
quinic acid,CP00005845,EMC3,9606,associate
quinic acid,CP00005845,RAF1,9606,associate
quinic acid,CP00005845,CARS2,9606,associate
quinic acid,CP00005845,MSR1,9606,associate
quinic acid,CP00005845,LIG1,9606,associate
quinic acid,CP00005845,ACVR1,9606,associate
quinic acid,CP00005845,RBBP5,9606,associate
quinic acid,CP00005845,GRPEL1,9606,associate
quinic acid,CP00005845,MRPL3,9606,associate
quinic acid,CP00005845,MCM2,9606,associate
quinic acid,CP00005845,RPL3L,9606,associate
quinic acid,CP00005845,IMPA2,9606,associate
quinic acid,CP00005845,PSMA5,9606,associate
quinic acid,CP00005845,GLUD1,9606,associate
quinic acid,CP00005845,DIP2C,9606,associate
quinic acid,CP00005845,STEAP2,9606,associate
quinic acid,CP00005845,BRAF,9606,associate
quinic acid,CP00005845,CLEC1B,9606,associate
quinic acid,CP00005845,ZNF3,9606,associate
quinic acid,CP00005845,HSP90B1,9606,associate
quinic acid,CP00005845,ACSF2,9606,associate
quinic acid,CP00005845,DIP2B,9606,associate
quinic acid,CP00005845,SCARA3,9606,associate
quinic acid,CP00005845,OTP,9606,associate
quinic acid,CP00005845,PRPF8,9606,associate
quinic acid,CP00005845,LRTOMT,9606,associate
quinic acid,CP00005845,GLUL,9606,associate
quinic acid,CP00005845,RNF4,9606,associate
quinic acid,CP00005845,BCKDHB,9606,associate
quinic acid,CP00005845,MARCO,9606,associate
quinic acid,CP00005845,ACSF3,9606,associate
quinic acid,CP00005845,BCAT2,9606,associate
quinic acid,CP00005845,CD37,9606,associate
quinic acid,CP00005845,HSP90AB1,9606,associate
quinic acid,CP00005845,GLUD2,9606,associate
quinic acid,CP00005845,CLEC4G,9606,associate
quinic acid,CP00005845,GRPEL2,9606,associate
quinic acid,CP00005845,WDR5B,9606,associate
quinic acid,CP00005845,HSP90AA1,9606,associate
quinic acid,CP00005845,KSR2,9606,associate
quinic acid,CP00005845,CBS,9606,associate
quinic acid,CP00005845,GPT2,9606,associate
quinic acid,CP00005845,RPL3,9606,associate
quinic acid,CP00005845,DPAGT1,9606,associate
quinic acid,CP00005845,NUDT13,9606,associate
quinic acid,CP00005845,WDR5,9606,associate
quinic acid,CP00005845,BCS1L,9606,associate
quinic acid,CP00005845,COMT,9606,associate
quinic acid,CP00005845,AKAP13,9606,associate
quinic acid,CP00005845,SMC3,9606,associate
quinic acid,CP00005845,EPRS,9606,associate
quinic acid,CP00005845,NENF,9606,associate
quinic acid,CP00005845,MAN1A1,9606,associate
quinic acid,CP00005845,CGAS,9606,associate
quinic acid,CP00005845,LGSN,9606,associate
quinic acid,CP00005845,CTH,9606,associate
quinic acid,CP00005845,PARS2,9606,associate
quinic acid,CP00005845,NDOR1,9606,associate
quinic acid,CP00005845,COMTD1,9606,associate
quinic acid,CP00005845,HMGCL,9606,associate
quinic acid,CP00005845,AGMAT,9606,associate
quinic acid,CP00005845,THNSL1,9606,associate
quinic acid,CP00005845,ARAF,9606,associate
quinic acid,CP00005845,LIG3,9606,associate
quinic acid,CP00005845,STEAP4,9606,associate
quinic acid,CP00005845,CARS,9606,associate
quinic acid,CP00005845,ACVRL1,9606,associate
quinic acid,CP00005845,PTRH2,9606,associate
quinic acid,CP00005845,STEAP3,9606,associate
quinic acid,CP00005845,PC,9606,associate
quinic acid,CP00005845,GPT,9606,associate
quinic acid,CP00005845,ADHFE1,9606,associate
quinic acid,CP00005845,HMGCLL1,9606,associate
quinic acid,CP00005845,COLEC12,9606,associate
quinic acid,CP00005845,PWP1,9606,associate
quinic acid,CP00005845,DIP2A,9606,associate
quinic acid,CP00005845,IMPA1,9606,associate
quinic acid,CP00005845,BCAT1,9606,associate
quinic acid,CP00005845,ASPG,9606,associate
quinic acid,CP00005845,SELE,9606,inhibit
quinic acid,CP00005845,SELP,9606,inhibit
quinic acid,CP00005845,TDP1,9606,associate
quinic acid,CP00005845,SLCO1B1,9606,inhibit
quinic acid,CP00005845,SLCO1B3,9606,inhibit
