Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
piperine,CP00542400,ABCB1,9606,inhibit
piperine,CP00542400,TRPV1,9606,associate
piperine,CP00542400,MAOB,9606,inhibit
piperine,CP00542400,CTSD,9606,inhibit
piperine,CP00542400,HSD17B10,9606,associate
piperine,CP00542400,KDM4E,9606,associate
piperine,CP00542400,RAB9A,9606,associate
piperine,CP00542400,LOC110245663,1720309,associate
piperine,CP00542400,ALDH1A1,9606,associate
piperine,CP00542400,MAPK1,9606,associate
piperine,CP00542400,NPC1,9606,associate
piperine,CP00542400,HPGD,9606,associate
piperine,CP00542400,CYP3A4,9606,associate
piperine,CP00542400,NR1I2,9606,associate
piperine,CP00542400,Maob,10116,inhibit
piperine,CP00542400,Maoa,10090,inhibit
piperine,CP00542400,Maob,10090,inhibit
piperine,CP00542400,Rorc,10090,associate
piperine,CP00542400,Smp_048430,6183,associate
piperine,CP00542400,ampC,511145,associate
piperine,CP00542400,NFE2L2,9606,associate
piperine,CP00542400,ATAD5,9606,associate
piperine,CP00542400,RXRA,9606,associate
piperine,CP00542400,POLI,9606,associate
piperine,CP00542400,NR1H4,9606,associate
piperine,CP00542400,NR3C1,9606,associate
piperine,CP00542400,PPARG,9606,associate
piperine,CP00542400,AHR,9606,associate
piperine,CP00542400,SMPD1,9606,associate
piperine,CP00542400,ATXN2,9606,associate
piperine,CP00542400,BRCA1,9606,associate
piperine,CP00542400,Nr1i2,10116,associate
piperine,CP00542400,ALB,9913,associate
piperine,CP00542400,MAOA,9606,inhibit
piperine,CP00542400,SLCO1B1,9606,associate
piperine,CP00542400,SLCO1B3,9606,associate
piperine,CP00542400,AR,9606,associate
piperine,CP00542400,PPARD,9606,associate
piperine,CP00542400,GABRG2,9606,associate
piperine,CP00542400,PANA_RS06665,706191,inhibit
piperine,CP00542400,LOC110244330,1720309,inhibit
piperine,CP00542400,LOC108260043,7998,associate
piperine,CP00542400,PTGS2,9606,activate
piperine,CP00542400,JUN,9606,inhibit
piperine,CP00542400,PAGR1,9606,associate
piperine,CP00542400,ABCB1,9606,activate
piperine,CP00542400,CYP3A4,9606,activate
piperine,CP00542400,REL,9606,inhibit
piperine,CP00542400,MAPK8,9606,associate
piperine,CP00542400,NFKBIA,9606,activate
piperine,CP00542400,FOS,9606,inhibit
piperine,CP00542400,RELA,9606,inhibit
piperine,CP00542400,MAOB,9606,associate
piperine,CP00542400,IL1B,9606,associate
piperine,CP00542400,NR1I2,9606,activate
piperine,CP00542400,MAPK3,9606,associate
piperine,CP00542400,PLCG1,9606,associate
piperine,CP00542400,SLC9A3,9606,inhibit
piperine,CP00542400,IL6,9606,associate
piperine,CP00542400,MMP9,9606,associate
piperine,CP00542400,MMP2,9606,associate
piperine,CP00542400,TRPV5,9606,associate
piperine,CP00542400,GSR,9606,associate
piperine,CP00542400,LCN1,9606,associate
piperine,CP00542400,TAC1,9606,associate
piperine,CP00542400,TNF,9606,associate
piperine,CP00542400,SPACA5,9606,associate
piperine,CP00542400,PRKCA,9606,associate
piperine,CP00542400,UTRN,9606,activate
piperine,CP00542400,CREB1,9606,inhibit
piperine,CP00542400,JUN,9606,associate
piperine,CP00542400,NFKB1,9606,inhibit
piperine,CP00542400,ALDH3B2,9606,associate
piperine,CP00542400,UGDH,9606,associate
piperine,CP00542400,RELA,9606,associate
piperine,CP00542400,PRSS3,9606,associate
piperine,CP00542400,ACAT1,9606,associate
piperine,CP00542400,CYB5A,9606,associate
piperine,CP00542400,MAOA,9606,associate
piperine,CP00542400,CD9,9606,associate
piperine,CP00542400,MMP14,9606,associate
piperine,CP00542400,CYP1A1,9606,associate
piperine,CP00542400,CSF2,9606,associate
piperine,CP00542400,ICAM1,9606,associate
piperine,CP00542400,PTGS2,9606,associate
piperine,CP00542400,HMOX1,9606,associate
piperine,CP00542400,DGAT1,9606,associate
piperine,CP00542400,CASP3,9606,associate
piperine,CP00542400,NCOA1,9606,associate
piperine,CP00542400,TM4SF1,9606,associate
piperine,CP00542400,NCOA1,9606,activate
piperine,CP00542400,NFKBIA,9606,associate
piperine,CP00542400,GALR3,9606,associate
piperine,CP00542400,TRPA1,9606,associate
piperine,CP00542400,SLC35A2,9606,associate
piperine,CP00542400,CYP1B1,9606,associate
piperine,CP00542400,TRPM5,9606,associate
piperine,CP00542400,MAPK10,9606,associate
piperine,CP00542400,ZC3H12D,9606,associate
piperine,CP00542400,ATF2,9606,inhibit
piperine,CP00542400,MBD2,9606,associate
piperine,CP00542400,SOD2,9606,associate
piperine,CP00542400,TRPV3,9606,associate
piperine,CP00542400,IRF7,9606,associate
piperine,CP00542400,RNASEH2A,9606,associate
piperine,CP00542400,PRKCE,9606,associate
piperine,CP00542400,SSR1,9606,associate
piperine,CP00542400,PNLIP,9606,associate
piperine,CP00542400,CAT,9606,associate
piperine,CP00542400,ICK,9606,associate
piperine,CP00542400,TRPM8,9606,associate
piperine,CP00542400,TRPV2,9606,associate
piperine,CP00542400,ABCC3,9606,associate
piperine,CP00542400,KNG1,9606,associate
piperine,CP00542400,TRPV4,9606,associate
piperine,CP00542400,GALR2,9606,associate
