Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
Methyl piperate,CP07862213,Maoa,10090,inhibit
Methyl piperate,CP07862213,Maob,10090,inhibit
Methyl piperate,CP07862213,Maob,10116,inhibit
Methyl piperate,CP07862213,KDM1B,9606,associate
Methyl piperate,CP07862213,MAOA,9606,associate
Methyl piperate,CP07862213,MAOB,9606,associate
Methyl piperate,CP07862213,KDM1A,9606,associate
Methyl piperate,CP07862213,Maoa,10116,inhibit
Methyl piperate,CP07862213,TRPV1,9606,associate
Methyl piperate,CP07862213,EDNRB,9606,associate
Methyl piperate,CP07862213,EDNRA,9606,associate
Methyl piperate,CP07862213,CNR2,9606,associate
Methyl piperate,CP07862213,CA1,9606,associate
Methyl piperate,CP07862213,CTDSP1,9606,associate
Methyl piperate,CP07862213,STAT1,9606,associate
Methyl piperate,CP07862213,PTGS1,9606,associate
Methyl piperate,CP07862213,CA5A,9606,associate
Methyl piperate,CP07862213,XBP1,9606,associate
Methyl piperate,CP07862213,NR1H4,9606,associate
Methyl piperate,CP07862213,APOBEC3G,9606,associate
Methyl piperate,CP07862213,SENP6,9606,associate
Methyl piperate,CP07862213,MCL1,9606,associate
Methyl piperate,CP07862213,HDAC3,9606,associate
Methyl piperate,CP07862213,CDC25B,9606,associate
Methyl piperate,CP07862213,ABCB1,9606,associate
Methyl piperate,CP07862213,CA7,9606,associate
Methyl piperate,CP07862213,CASP3,9606,associate
Methyl piperate,CP07862213,CA3,9606,associate
Methyl piperate,CP07862213,SLC6A2,9606,associate
Methyl piperate,CP07862213,HDAC1,9606,associate
Methyl piperate,CP07862213,DUSP3,9606,associate
Methyl piperate,CP07862213,HCAR2,9606,associate
Methyl piperate,CP07862213,AKR1B1,9606,associate
Methyl piperate,CP07862213,MTNR1B,9606,associate
Methyl piperate,CP07862213,CLK1,9606,associate
Methyl piperate,CP07862213,CA2,9606,associate
Methyl piperate,CP07862213,GLO1,9606,associate
Methyl piperate,CP07862213,PPP1CA,9606,associate
Methyl piperate,CP07862213,TUBB1,9606,associate
Methyl piperate,CP07862213,SOAT1,9606,associate
Methyl piperate,CP07862213,SLC6A4,9606,associate
Methyl piperate,CP07862213,PTGS2,9606,associate
Methyl piperate,CP07862213,KLF5,9606,associate
Methyl piperate,CP07862213,HDAC6,9606,associate
Methyl piperate,CP07862213,HDAC8,9606,associate
Methyl piperate,CP07862213,SENP8,9606,associate
Methyl piperate,CP07862213,CA14,9606,associate
Methyl piperate,CP07862213,CA6,9606,associate
Methyl piperate,CP07862213,DNMT1,9606,associate
Methyl piperate,CP07862213,GPR55,9606,associate
Methyl piperate,CP07862213,RARA,9606,associate
Methyl piperate,CP07862213,F3,9606,associate
Methyl piperate,CP07862213,DYRK1A,9606,associate
Methyl piperate,CP07862213,ALOX5,9606,associate
Methyl piperate,CP07862213,CA12,9606,associate
Methyl piperate,CP07862213,TGFBR2,9606,associate
Methyl piperate,CP07862213,SLCO1B1,9606,associate
Methyl piperate,CP07862213,STK4,9606,associate
Methyl piperate,CP07862213,VCAM1,9606,associate
Methyl piperate,CP07862213,ADCY1,9606,associate
Methyl piperate,CP07862213,ADAMTS4,9606,associate
Methyl piperate,CP07862213,CFTR,9606,associate
Methyl piperate,CP07862213,CYP11B2,9606,associate
Methyl piperate,CP07862213,GGPS1,9606,associate
Methyl piperate,CP07862213,CACNA1B,9606,associate
Methyl piperate,CP07862213,FGF1,9606,associate
Methyl piperate,CP07862213,FCER2,9606,associate
Methyl piperate,CP07862213,FOLR1,9606,associate
Methyl piperate,CP07862213,ALOX5AP,9606,associate
Methyl piperate,CP07862213,PDK2,9606,associate
Methyl piperate,CP07862213,PHOSPHO1,9606,associate
Methyl piperate,CP07862213,TMPRSS11D,9606,associate
Methyl piperate,CP07862213,TMPRSS6,9606,associate
Methyl piperate,CP07862213,PRKCE,9606,associate
Methyl piperate,CP07862213,ITGA4,9606,associate
Methyl piperate,CP07862213,SSTR3,9606,associate
Methyl piperate,CP07862213,STS,9606,associate
Methyl piperate,CP07862213,SSTR5,9606,associate
Methyl piperate,CP07862213,WNT3A,9606,associate
Methyl piperate,CP07862213,PDE1B,9606,associate
Methyl piperate,CP07862213,PLA2G4A,9606,associate
Methyl piperate,CP07862213,PLA2G2A,9606,associate
Methyl piperate,CP07862213,RELA,9606,associate
Methyl piperate,CP07862213,KIF11,9606,associate
Methyl piperate,CP07862213,SERPINE1,9606,associate
Methyl piperate,CP07862213,TXK,9606,associate
Methyl piperate,CP07862213,NAMPT,9606,associate
Methyl piperate,CP07862213,CDK8,9606,associate
Methyl piperate,CP07862213,CHRNA3,9606,associate
Methyl piperate,CP07862213,CYP51A1,9606,associate
Methyl piperate,CP07862213,PKN2,9606,associate
Methyl piperate,CP07862213,POLB,9606,associate
Methyl piperate,CP07862213,EP300,9606,associate
Methyl piperate,CP07862213,TPSAB1,9606,associate
Methyl piperate,CP07862213,PIP4K2B,9606,associate
Methyl piperate,CP07862213,DLG4,9606,associate
Methyl piperate,CP07862213,MIF,9606,associate
Methyl piperate,CP07862213,CD74,9606,associate
Methyl piperate,CP07862213,PRF1,9606,associate
Methyl piperate,CP07862213,KDM4C,9606,associate
Methyl piperate,CP07862213,HTR7,9606,associate
Methyl piperate,CP07862213,GSK3B,9606,associate
Methyl piperate,CP07862213,BMP4,9606,associate
Methyl piperate,CP07862213,NEK4,9606,associate
