Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
Retrofractamide A,CP08909589,HDAC1,9606,associate
Retrofractamide A,CP08909589,HDAC3,9606,associate
Retrofractamide A,CP08909589,HDAC6,9606,associate
Retrofractamide A,CP08909589,FAAH,9606,associate
Retrofractamide A,CP08909589,HDAC1,9606,inhibit
Retrofractamide A,CP08909589,HDAC3,9606,inhibit
Retrofractamide A,CP08909589,HDAC6,9606,inhibit
Retrofractamide A,CP08909589,TRPV1,9606,associate
Retrofractamide A,CP08909589,SOAT1,9606,associate
Retrofractamide A,CP08909589,CNR2,9606,associate
Retrofractamide A,CP08909589,CNR1,9606,associate
Retrofractamide A,CP08909589,PPARD,9606,associate
Retrofractamide A,CP08909589,PPARG,9606,associate
Retrofractamide A,CP08909589,PPARA,9606,associate
Retrofractamide A,CP08909589,EDNRA,9606,associate
Retrofractamide A,CP08909589,MAOB,9606,associate
Retrofractamide A,CP08909589,CYP3A4,9606,associate
Retrofractamide A,CP08909589,IRAK1,9606,associate
Retrofractamide A,CP08909589,SLC6A4,9606,associate
Retrofractamide A,CP08909589,OPRM1,9606,associate
Retrofractamide A,CP08909589,PIK3CG,9606,associate
Retrofractamide A,CP08909589,CYP2C9,9606,associate
Retrofractamide A,CP08909589,KDR,9606,associate
Retrofractamide A,CP08909589,TRPA1,9606,associate
Retrofractamide A,CP08909589,CLK4,9606,associate
Retrofractamide A,CP08909589,TGFBR2,9606,associate
Retrofractamide A,CP08909589,SLCO1B1,9606,associate
Retrofractamide A,CP08909589,STK4,9606,associate
Retrofractamide A,CP08909589,VCAM1,9606,associate
Retrofractamide A,CP08909589,ADCY1,9606,associate
Retrofractamide A,CP08909589,ADAMTS4,9606,associate
Retrofractamide A,CP08909589,CFTR,9606,associate
Retrofractamide A,CP08909589,CYP11B2,9606,associate
Retrofractamide A,CP08909589,GGPS1,9606,associate
Retrofractamide A,CP08909589,CACNA1B,9606,associate
Retrofractamide A,CP08909589,FGF1,9606,associate
Retrofractamide A,CP08909589,FCER2,9606,associate
Retrofractamide A,CP08909589,FOLR1,9606,associate
Retrofractamide A,CP08909589,ALOX5AP,9606,associate
Retrofractamide A,CP08909589,PDK2,9606,associate
Retrofractamide A,CP08909589,PHOSPHO1,9606,associate
Retrofractamide A,CP08909589,TMPRSS11D,9606,associate
Retrofractamide A,CP08909589,TMPRSS6,9606,associate
Retrofractamide A,CP08909589,PRKCE,9606,associate
Retrofractamide A,CP08909589,ITGA4,9606,associate
Retrofractamide A,CP08909589,SSTR3,9606,associate
Retrofractamide A,CP08909589,STS,9606,associate
Retrofractamide A,CP08909589,SSTR5,9606,associate
Retrofractamide A,CP08909589,WNT3A,9606,associate
Retrofractamide A,CP08909589,PDE1B,9606,associate
Retrofractamide A,CP08909589,PLA2G4A,9606,associate
Retrofractamide A,CP08909589,PLA2G2A,9606,associate
Retrofractamide A,CP08909589,RELA,9606,associate
Retrofractamide A,CP08909589,KIF11,9606,associate
Retrofractamide A,CP08909589,SERPINE1,9606,associate
Retrofractamide A,CP08909589,TXK,9606,associate
Retrofractamide A,CP08909589,NAMPT,9606,associate
Retrofractamide A,CP08909589,CDK8,9606,associate
Retrofractamide A,CP08909589,NR1H4,9606,associate
Retrofractamide A,CP08909589,CHRNA3,9606,associate
Retrofractamide A,CP08909589,CYP51A1,9606,associate
Retrofractamide A,CP08909589,PKN2,9606,associate
Retrofractamide A,CP08909589,POLB,9606,associate
Retrofractamide A,CP08909589,EP300,9606,associate
Retrofractamide A,CP08909589,TPSAB1,9606,associate
Retrofractamide A,CP08909589,PIP4K2B,9606,associate
Retrofractamide A,CP08909589,DLG4,9606,associate
Retrofractamide A,CP08909589,MIF,9606,associate
Retrofractamide A,CP08909589,CD74,9606,associate
Retrofractamide A,CP08909589,PRF1,9606,associate
Retrofractamide A,CP08909589,KDM4C,9606,associate
Retrofractamide A,CP08909589,HTR7,9606,associate
Retrofractamide A,CP08909589,GSK3B,9606,associate
Retrofractamide A,CP08909589,BMP4,9606,associate
Retrofractamide A,CP08909589,NEK4,9606,associate
Retrofractamide A,CP08909589,CA1,9606,associate
Retrofractamide A,CP08909589,GALR1,9606,associate
Retrofractamide A,CP08909589,AKT1,9606,associate
Retrofractamide A,CP08909589,FES,9606,associate
Retrofractamide A,CP08909589,PRKCQ,9606,associate
Retrofractamide A,CP08909589,KCNA5,9606,associate
Retrofractamide A,CP08909589,LDHB,9606,associate
Retrofractamide A,CP08909589,SCARB1,9606,associate
Retrofractamide A,CP08909589,MLYCD,9606,associate
Retrofractamide A,CP08909589,CDC42BPA,9606,associate
Retrofractamide A,CP08909589,S1PR4,9606,associate
Retrofractamide A,CP08909589,FPR1,9606,associate
Retrofractamide A,CP08909589,CA7,9606,associate
Retrofractamide A,CP08909589,HLA-A,9606,associate
Retrofractamide A,CP08909589,P2RY14,9606,associate
Retrofractamide A,CP08909589,TNFRSF1A,9606,associate
Retrofractamide A,CP08909589,TAOK3,9606,associate
Retrofractamide A,CP08909589,DCTPP1,9606,associate
Retrofractamide A,CP08909589,RAD51,9606,associate
Retrofractamide A,CP08909589,F10,9606,associate
Retrofractamide A,CP08909589,PDGFRB,9606,associate
Retrofractamide A,CP08909589,ITGAL,9606,associate
Retrofractamide A,CP08909589,F9,9606,associate
Retrofractamide A,CP08909589,TRPM8,9606,associate
Retrofractamide A,CP08909589,THRB,9606,associate
Retrofractamide A,CP08909589,WDR5,9606,associate
Retrofractamide A,CP08909589,ALOX12,9606,associate
Retrofractamide A,CP08909589,CALCA,9606,associate
