Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
piperanine,CP04483923,TRPV1,9606,associate
piperanine,CP04483923,ATAD5,9606,associate
piperanine,CP04483923,TARDBP,9606,associate
piperanine,CP04483923,LOC108260043,7998,associate
piperanine,CP04483923,ALOX5,9606,associate
piperanine,CP04483923,TRPA1,9606,associate
piperanine,CP04483923,PTGS1,9606,associate
piperanine,CP04483923,MAOB,9606,associate
piperanine,CP04483923,TAAR1,9606,associate
piperanine,CP04483923,SLC6A3,9606,associate
piperanine,CP04483923,HDAC1,9606,associate
piperanine,CP04483923,HRH3,9606,associate
piperanine,CP04483923,CNR1,9606,associate
piperanine,CP04483923,EDNRB,9606,associate
piperanine,CP04483923,F2R,9606,associate
piperanine,CP04483923,CA2,9606,associate
piperanine,CP04483923,L3MBTL3,9606,associate
piperanine,CP04483923,PTGS2,9606,associate
piperanine,CP04483923,HDAC3,9606,associate
piperanine,CP04483923,PDE5A,9606,associate
piperanine,CP04483923,CNR2,9606,associate
piperanine,CP04483923,DPP4,9606,associate
piperanine,CP04483923,CHRM5,9606,associate
piperanine,CP04483923,F3,9606,associate
piperanine,CP04483923,CDC25A,9606,associate
piperanine,CP04483923,PREP,9606,associate
piperanine,CP04483923,CHRM2,9606,associate
piperanine,CP04483923,ALOX15,9606,associate
piperanine,CP04483923,TBXA2R,9606,associate
piperanine,CP04483923,TGFBR2,9606,associate
piperanine,CP04483923,SLCO1B1,9606,associate
piperanine,CP04483923,STK4,9606,associate
piperanine,CP04483923,VCAM1,9606,associate
piperanine,CP04483923,ADCY1,9606,associate
piperanine,CP04483923,ADAMTS4,9606,associate
piperanine,CP04483923,CFTR,9606,associate
piperanine,CP04483923,CYP11B2,9606,associate
piperanine,CP04483923,GGPS1,9606,associate
piperanine,CP04483923,CACNA1B,9606,associate
piperanine,CP04483923,FGF1,9606,associate
piperanine,CP04483923,FCER2,9606,associate
piperanine,CP04483923,FOLR1,9606,associate
piperanine,CP04483923,ALOX5AP,9606,associate
piperanine,CP04483923,PDK2,9606,associate
piperanine,CP04483923,PHOSPHO1,9606,associate
piperanine,CP04483923,TMPRSS11D,9606,associate
piperanine,CP04483923,TMPRSS6,9606,associate
piperanine,CP04483923,PRKCE,9606,associate
piperanine,CP04483923,ITGA4,9606,associate
piperanine,CP04483923,SSTR3,9606,associate
piperanine,CP04483923,STS,9606,associate
piperanine,CP04483923,SSTR5,9606,associate
piperanine,CP04483923,WNT3A,9606,associate
piperanine,CP04483923,PDE1B,9606,associate
piperanine,CP04483923,PLA2G4A,9606,associate
piperanine,CP04483923,PLA2G2A,9606,associate
piperanine,CP04483923,RELA,9606,associate
piperanine,CP04483923,KIF11,9606,associate
piperanine,CP04483923,SERPINE1,9606,associate
piperanine,CP04483923,TXK,9606,associate
piperanine,CP04483923,NAMPT,9606,associate
piperanine,CP04483923,CDK8,9606,associate
piperanine,CP04483923,NR1H4,9606,associate
piperanine,CP04483923,CHRNA3,9606,associate
piperanine,CP04483923,CYP51A1,9606,associate
piperanine,CP04483923,PKN2,9606,associate
piperanine,CP04483923,POLB,9606,associate
piperanine,CP04483923,EP300,9606,associate
piperanine,CP04483923,TPSAB1,9606,associate
piperanine,CP04483923,PIP4K2B,9606,associate
piperanine,CP04483923,DLG4,9606,associate
piperanine,CP04483923,MIF,9606,associate
piperanine,CP04483923,CD74,9606,associate
piperanine,CP04483923,PRF1,9606,associate
piperanine,CP04483923,KDM4C,9606,associate
piperanine,CP04483923,HTR7,9606,associate
piperanine,CP04483923,GSK3B,9606,associate
piperanine,CP04483923,BMP4,9606,associate
piperanine,CP04483923,NEK4,9606,associate
piperanine,CP04483923,CA1,9606,associate
piperanine,CP04483923,GALR1,9606,associate
piperanine,CP04483923,AKT1,9606,associate
piperanine,CP04483923,FES,9606,associate
piperanine,CP04483923,PRKCQ,9606,associate
piperanine,CP04483923,KCNA5,9606,associate
piperanine,CP04483923,LDHB,9606,associate
piperanine,CP04483923,SCARB1,9606,associate
piperanine,CP04483923,MLYCD,9606,associate
piperanine,CP04483923,CDC42BPA,9606,associate
piperanine,CP04483923,S1PR4,9606,associate
piperanine,CP04483923,FPR1,9606,associate
piperanine,CP04483923,CA7,9606,associate
piperanine,CP04483923,HLA-A,9606,associate
piperanine,CP04483923,P2RY14,9606,associate
piperanine,CP04483923,TNFRSF1A,9606,associate
piperanine,CP04483923,TAOK3,9606,associate
piperanine,CP04483923,DCTPP1,9606,associate
piperanine,CP04483923,RAD51,9606,associate
piperanine,CP04483923,F10,9606,associate
piperanine,CP04483923,PDGFRB,9606,associate
piperanine,CP04483923,ITGAL,9606,associate
piperanine,CP04483923,F9,9606,associate
piperanine,CP04483923,TRPM8,9606,associate
piperanine,CP04483923,THRB,9606,associate
piperanine,CP04483923,WDR5,9606,associate
