Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
piperlonguminine,CP04483926,TRPV1,9606,associate
piperlonguminine,CP04483926,ATAD5,9606,associate
piperlonguminine,CP04483926,HDAC6,9606,associate
piperlonguminine,CP04483926,GMNN,9606,associate
piperlonguminine,CP04483926,BRCA1,9606,associate
piperlonguminine,CP04483926,TARDBP,9606,associate
piperlonguminine,CP04483926,LOC108260043,7998,associate
piperlonguminine,CP04483926,BACE1,9606,associate
piperlonguminine,CP04483926,ADIPOQ,9606,associate
piperlonguminine,CP04483926,ALOX5,9606,associate
piperlonguminine,CP04483926,MITF,9606,associate
piperlonguminine,CP04483926,SLC2A4,9606,associate
piperlonguminine,CP04483926,APP,9606,associate
piperlonguminine,CP04483926,IRS1,9606,associate
piperlonguminine,CP04483926,PTGS1,9606,associate
piperlonguminine,CP04483926,TYR,9606,associate
piperlonguminine,CP04483926,PPARG,9606,associate
piperlonguminine,CP04483926,KALRN,9606,associate
piperlonguminine,CP04483926,PLEKHG4B,9606,associate
piperlonguminine,CP04483926,ARHGEF40,9606,associate
piperlonguminine,CP04483926,MCF2L2,9606,associate
piperlonguminine,CP04483926,TRIO,9606,associate
piperlonguminine,CP04483926,PPL,9606,associate
piperlonguminine,CP04483926,PLEKHG4,9606,associate
piperlonguminine,CP04483926,SESTD1,9606,associate
piperlonguminine,CP04483926,MCF2,9606,associate
piperlonguminine,CP04483926,HDAC1,9606,inhibit
piperlonguminine,CP04483926,HDAC3,9606,inhibit
piperlonguminine,CP04483926,HDAC6,9606,inhibit
piperlonguminine,CP04483926,TDP1,9606,associate
piperlonguminine,CP04483926,SOAT1,9606,associate
piperlonguminine,CP04483926,CNR2,9606,associate
piperlonguminine,CP04483926,EDNRA,9606,associate
piperlonguminine,CP04483926,CNR1,9606,associate
piperlonguminine,CP04483926,HDAC3,9606,associate
piperlonguminine,CP04483926,HDAC1,9606,associate
piperlonguminine,CP04483926,SLC6A4,9606,associate
piperlonguminine,CP04483926,PIK3CG,9606,associate
piperlonguminine,CP04483926,MAOB,9606,associate
piperlonguminine,CP04483926,IRAK1,9606,associate
