Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
pipernonaline,CP07912370,ICAM1,9606,associate
pipernonaline,CP07912370,ICAM1,9606,inhibit
pipernonaline,CP07912370,TRPV1,9606,associate
pipernonaline,CP07912370,MAOB,9606,associate
pipernonaline,CP07912370,HRH3,9606,associate
pipernonaline,CP07912370,SOAT1,9606,associate
pipernonaline,CP07912370,GPR183,9606,associate
pipernonaline,CP07912370,CNR1,9606,associate
pipernonaline,CP07912370,PLA2G1B,9606,associate
pipernonaline,CP07912370,HDAC3,9606,associate
pipernonaline,CP07912370,HDAC6,9606,associate
pipernonaline,CP07912370,F3,9606,associate
pipernonaline,CP07912370,GSK3B,9606,associate
pipernonaline,CP07912370,CA1,9606,associate
pipernonaline,CP07912370,CA7,9606,associate
pipernonaline,CP07912370,PIM1,9606,associate
pipernonaline,CP07912370,PTGER2,9606,associate
pipernonaline,CP07912370,CA2,9606,associate
pipernonaline,CP07912370,DYRK2,9606,associate
pipernonaline,CP07912370,ADRA1B,9606,associate
pipernonaline,CP07912370,PPARD,9606,associate
pipernonaline,CP07912370,CTSS,9606,associate
pipernonaline,CP07912370,HDAC8,9606,associate
pipernonaline,CP07912370,HRH4,9606,associate
pipernonaline,CP07912370,DYRK3,9606,associate
pipernonaline,CP07912370,KCNH2,9606,associate
pipernonaline,CP07912370,DPP4,9606,associate
pipernonaline,CP07912370,TBXAS1,9606,associate
pipernonaline,CP07912370,BDKRB1,9606,associate
pipernonaline,CP07912370,GPR55,9606,associate
pipernonaline,CP07912370,MCOLN3,9606,associate
pipernonaline,CP07912370,CDC25A,9606,associate
pipernonaline,CP07912370,PLK4,9606,associate
pipernonaline,CP07912370,CHRM2,9606,associate
pipernonaline,CP07912370,CA12,9606,associate
pipernonaline,CP07912370,TGFBR2,9606,associate
pipernonaline,CP07912370,SLCO1B1,9606,associate
pipernonaline,CP07912370,STK4,9606,associate
pipernonaline,CP07912370,VCAM1,9606,associate
pipernonaline,CP07912370,ADCY1,9606,associate
pipernonaline,CP07912370,ADAMTS4,9606,associate
pipernonaline,CP07912370,CFTR,9606,associate
pipernonaline,CP07912370,CYP11B2,9606,associate
pipernonaline,CP07912370,GGPS1,9606,associate
pipernonaline,CP07912370,CACNA1B,9606,associate
pipernonaline,CP07912370,FGF1,9606,associate
pipernonaline,CP07912370,FCER2,9606,associate
pipernonaline,CP07912370,FOLR1,9606,associate
pipernonaline,CP07912370,ALOX5AP,9606,associate
pipernonaline,CP07912370,PDK2,9606,associate
pipernonaline,CP07912370,PHOSPHO1,9606,associate
pipernonaline,CP07912370,TMPRSS11D,9606,associate
pipernonaline,CP07912370,TMPRSS6,9606,associate
pipernonaline,CP07912370,PRKCE,9606,associate
pipernonaline,CP07912370,ITGA4,9606,associate
pipernonaline,CP07912370,SSTR3,9606,associate
pipernonaline,CP07912370,STS,9606,associate
pipernonaline,CP07912370,SSTR5,9606,associate
pipernonaline,CP07912370,WNT3A,9606,associate
pipernonaline,CP07912370,PDE1B,9606,associate
pipernonaline,CP07912370,PLA2G4A,9606,associate
pipernonaline,CP07912370,PLA2G2A,9606,associate
pipernonaline,CP07912370,RELA,9606,associate
pipernonaline,CP07912370,KIF11,9606,associate
pipernonaline,CP07912370,SERPINE1,9606,associate
pipernonaline,CP07912370,TXK,9606,associate
pipernonaline,CP07912370,NAMPT,9606,associate
pipernonaline,CP07912370,CDK8,9606,associate
pipernonaline,CP07912370,NR1H4,9606,associate
pipernonaline,CP07912370,CHRNA3,9606,associate
pipernonaline,CP07912370,CYP51A1,9606,associate
pipernonaline,CP07912370,PKN2,9606,associate
pipernonaline,CP07912370,POLB,9606,associate
pipernonaline,CP07912370,EP300,9606,associate
pipernonaline,CP07912370,TPSAB1,9606,associate
pipernonaline,CP07912370,PIP4K2B,9606,associate
pipernonaline,CP07912370,DLG4,9606,associate
pipernonaline,CP07912370,MIF,9606,associate
pipernonaline,CP07912370,CD74,9606,associate
pipernonaline,CP07912370,PRF1,9606,associate
pipernonaline,CP07912370,KDM4C,9606,associate
pipernonaline,CP07912370,HTR7,9606,associate
pipernonaline,CP07912370,BMP4,9606,associate
pipernonaline,CP07912370,NEK4,9606,associate
pipernonaline,CP07912370,GALR1,9606,associate
pipernonaline,CP07912370,AKT1,9606,associate
pipernonaline,CP07912370,FES,9606,associate
pipernonaline,CP07912370,PRKCQ,9606,associate
pipernonaline,CP07912370,KCNA5,9606,associate
pipernonaline,CP07912370,LDHB,9606,associate
pipernonaline,CP07912370,SCARB1,9606,associate
pipernonaline,CP07912370,MLYCD,9606,associate
pipernonaline,CP07912370,CDC42BPA,9606,associate
pipernonaline,CP07912370,S1PR4,9606,associate
pipernonaline,CP07912370,FPR1,9606,associate
pipernonaline,CP07912370,HLA-A,9606,associate
pipernonaline,CP07912370,P2RY14,9606,associate
pipernonaline,CP07912370,TNFRSF1A,9606,associate
pipernonaline,CP07912370,TAOK3,9606,associate
pipernonaline,CP07912370,DCTPP1,9606,associate
pipernonaline,CP07912370,RAD51,9606,associate
