Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
retrofractamide B,CP04527627,SOAT1,9606,inhibit
retrofractamide B,CP04527627,ATAD5,9606,associate
retrofractamide B,CP04527627,SMAD3,9606,associate
retrofractamide B,CP04527627,ATXN2,9606,associate
retrofractamide B,CP04527627,PTH1R,9606,associate
retrofractamide B,CP04527627,TDP1,9606,associate
retrofractamide B,CP04527627,SOAT1,9606,associate
retrofractamide B,CP04527627,TRPV1,9606,associate
retrofractamide B,CP04527627,CNR2,9606,associate
retrofractamide B,CP04527627,HDAC3,9606,associate
retrofractamide B,CP04527627,CNR1,9606,associate
retrofractamide B,CP04527627,HDAC1,9606,associate
retrofractamide B,CP04527627,HDAC6,9606,associate
retrofractamide B,CP04527627,PPARD,9606,associate
retrofractamide B,CP04527627,EDNRA,9606,associate
retrofractamide B,CP04527627,HRH2,9606,associate
retrofractamide B,CP04527627,MAOB,9606,associate
retrofractamide B,CP04527627,CYP3A4,9606,associate
retrofractamide B,CP04527627,IRAK1,9606,associate
retrofractamide B,CP04527627,SLC6A4,9606,associate
retrofractamide B,CP04527627,OPRM1,9606,associate
retrofractamide B,CP04527627,PIK3CG,9606,associate
retrofractamide B,CP04527627,CYP2C9,9606,associate
retrofractamide B,CP04527627,KDR,9606,associate
retrofractamide B,CP04527627,PPARA,9606,associate
retrofractamide B,CP04527627,TRPA1,9606,associate
retrofractamide B,CP04527627,CLK4,9606,associate
retrofractamide B,CP04527627,TGFBR2,9606,associate
retrofractamide B,CP04527627,SLCO1B1,9606,associate
retrofractamide B,CP04527627,STK4,9606,associate
retrofractamide B,CP04527627,VCAM1,9606,associate
retrofractamide B,CP04527627,ADCY1,9606,associate
retrofractamide B,CP04527627,ADAMTS4,9606,associate
retrofractamide B,CP04527627,CFTR,9606,associate
retrofractamide B,CP04527627,CYP11B2,9606,associate
retrofractamide B,CP04527627,GGPS1,9606,associate
retrofractamide B,CP04527627,CACNA1B,9606,associate
retrofractamide B,CP04527627,FGF1,9606,associate
retrofractamide B,CP04527627,FCER2,9606,associate
retrofractamide B,CP04527627,FOLR1,9606,associate
retrofractamide B,CP04527627,ALOX5AP,9606,associate
retrofractamide B,CP04527627,PDK2,9606,associate
retrofractamide B,CP04527627,PHOSPHO1,9606,associate
retrofractamide B,CP04527627,TMPRSS11D,9606,associate
retrofractamide B,CP04527627,TMPRSS6,9606,associate
retrofractamide B,CP04527627,PRKCE,9606,associate
retrofractamide B,CP04527627,ITGA4,9606,associate
retrofractamide B,CP04527627,SSTR3,9606,associate
retrofractamide B,CP04527627,STS,9606,associate
retrofractamide B,CP04527627,SSTR5,9606,associate
retrofractamide B,CP04527627,WNT3A,9606,associate
retrofractamide B,CP04527627,PDE1B,9606,associate
retrofractamide B,CP04527627,PLA2G4A,9606,associate
retrofractamide B,CP04527627,PLA2G2A,9606,associate
retrofractamide B,CP04527627,RELA,9606,associate
retrofractamide B,CP04527627,KIF11,9606,associate
retrofractamide B,CP04527627,SERPINE1,9606,associate
retrofractamide B,CP04527627,TXK,9606,associate
retrofractamide B,CP04527627,NAMPT,9606,associate
retrofractamide B,CP04527627,CDK8,9606,associate
retrofractamide B,CP04527627,NR1H4,9606,associate
retrofractamide B,CP04527627,CHRNA3,9606,associate
retrofractamide B,CP04527627,CYP51A1,9606,associate
retrofractamide B,CP04527627,PKN2,9606,associate
retrofractamide B,CP04527627,POLB,9606,associate
retrofractamide B,CP04527627,EP300,9606,associate
retrofractamide B,CP04527627,TPSAB1,9606,associate
retrofractamide B,CP04527627,PIP4K2B,9606,associate
retrofractamide B,CP04527627,DLG4,9606,associate
retrofractamide B,CP04527627,MIF,9606,associate
retrofractamide B,CP04527627,CD74,9606,associate
retrofractamide B,CP04527627,PRF1,9606,associate
retrofractamide B,CP04527627,KDM4C,9606,associate
retrofractamide B,CP04527627,HTR7,9606,associate
retrofractamide B,CP04527627,GSK3B,9606,associate
retrofractamide B,CP04527627,BMP4,9606,associate
retrofractamide B,CP04527627,NEK4,9606,associate
retrofractamide B,CP04527627,CA1,9606,associate
retrofractamide B,CP04527627,GALR1,9606,associate
retrofractamide B,CP04527627,AKT1,9606,associate
retrofractamide B,CP04527627,FES,9606,associate
retrofractamide B,CP04527627,PRKCQ,9606,associate
retrofractamide B,CP04527627,KCNA5,9606,associate
retrofractamide B,CP04527627,LDHB,9606,associate
retrofractamide B,CP04527627,SCARB1,9606,associate
retrofractamide B,CP04527627,MLYCD,9606,associate
retrofractamide B,CP04527627,CDC42BPA,9606,associate
retrofractamide B,CP04527627,S1PR4,9606,associate
retrofractamide B,CP04527627,FPR1,9606,associate
retrofractamide B,CP04527627,CA7,9606,associate
retrofractamide B,CP04527627,HLA-A,9606,associate
retrofractamide B,CP04527627,P2RY14,9606,associate
retrofractamide B,CP04527627,TNFRSF1A,9606,associate
retrofractamide B,CP04527627,TAOK3,9606,associate
retrofractamide B,CP04527627,DCTPP1,9606,associate
retrofractamide B,CP04527627,RAD51,9606,associate
retrofractamide B,CP04527627,F10,9606,associate
retrofractamide B,CP04527627,PDGFRB,9606,associate
retrofractamide B,CP04527627,ITGAL,9606,associate
retrofractamide B,CP04527627,F9,9606,associate
retrofractamide B,CP04527627,TRPM8,9606,associate
retrofractamide B,CP04527627,THRB,9606,associate
retrofractamide B,CP04527627,WDR5,9606,associate
retrofractamide B,CP04527627,ALOX12,9606,associate
retrofractamide B,CP04527627,CALCA,9606,associate
