Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
retrofractamide C,CP18432964,ICAM1,9606,associate
retrofractamide C,CP18432964,ICAM1,9606,inhibit
retrofractamide C,CP18432964,SOAT1,9606,associate
retrofractamide C,CP18432964,TRPV1,9606,associate
retrofractamide C,CP18432964,CNR2,9606,associate
retrofractamide C,CP18432964,EDNRA,9606,associate
retrofractamide C,CP18432964,CNR1,9606,associate
retrofractamide C,CP18432964,HDAC3,9606,associate
retrofractamide C,CP18432964,HDAC1,9606,associate
retrofractamide C,CP18432964,EDNRB,9606,associate
retrofractamide C,CP18432964,HDAC6,9606,associate
retrofractamide C,CP18432964,PPARA,9606,associate
retrofractamide C,CP18432964,TRPA1,9606,associate
retrofractamide C,CP18432964,XIAP,9606,associate
retrofractamide C,CP18432964,HRH2,9606,associate
retrofractamide C,CP18432964,MAOB,9606,associate
retrofractamide C,CP18432964,CYP3A4,9606,associate
retrofractamide C,CP18432964,IRAK1,9606,associate
retrofractamide C,CP18432964,SLC6A3,9606,associate
retrofractamide C,CP18432964,PPARG,9606,associate
retrofractamide C,CP18432964,XBP1,9606,associate
retrofractamide C,CP18432964,PTGES,9606,associate
retrofractamide C,CP18432964,OPRM1,9606,associate
retrofractamide C,CP18432964,MCL1,9606,associate
retrofractamide C,CP18432964,PPARD,9606,associate
retrofractamide C,CP18432964,PIK3CG,9606,associate
retrofractamide C,CP18432964,CTSS,9606,associate
retrofractamide C,CP18432964,KDR,9606,associate
retrofractamide C,CP18432964,TACR2,9606,associate
retrofractamide C,CP18432964,CLK4,9606,associate
retrofractamide C,CP18432964,EPHX2,9606,associate
retrofractamide C,CP18432964,PDGFRA,9606,associate
retrofractamide C,CP18432964,TGFBR2,9606,associate
retrofractamide C,CP18432964,SLCO1B1,9606,associate
retrofractamide C,CP18432964,STK4,9606,associate
retrofractamide C,CP18432964,VCAM1,9606,associate
retrofractamide C,CP18432964,ADCY1,9606,associate
retrofractamide C,CP18432964,ADAMTS4,9606,associate
retrofractamide C,CP18432964,CFTR,9606,associate
retrofractamide C,CP18432964,CYP11B2,9606,associate
retrofractamide C,CP18432964,GGPS1,9606,associate
retrofractamide C,CP18432964,CACNA1B,9606,associate
retrofractamide C,CP18432964,FGF1,9606,associate
retrofractamide C,CP18432964,FCER2,9606,associate
retrofractamide C,CP18432964,FOLR1,9606,associate
retrofractamide C,CP18432964,ALOX5AP,9606,associate
retrofractamide C,CP18432964,PDK2,9606,associate
retrofractamide C,CP18432964,PHOSPHO1,9606,associate
retrofractamide C,CP18432964,TMPRSS11D,9606,associate
retrofractamide C,CP18432964,TMPRSS6,9606,associate
retrofractamide C,CP18432964,PRKCE,9606,associate
retrofractamide C,CP18432964,ITGA4,9606,associate
retrofractamide C,CP18432964,SSTR3,9606,associate
retrofractamide C,CP18432964,STS,9606,associate
retrofractamide C,CP18432964,SSTR5,9606,associate
retrofractamide C,CP18432964,WNT3A,9606,associate
retrofractamide C,CP18432964,PDE1B,9606,associate
retrofractamide C,CP18432964,PLA2G4A,9606,associate
retrofractamide C,CP18432964,PLA2G2A,9606,associate
retrofractamide C,CP18432964,RELA,9606,associate
retrofractamide C,CP18432964,KIF11,9606,associate
retrofractamide C,CP18432964,SERPINE1,9606,associate
retrofractamide C,CP18432964,TXK,9606,associate
retrofractamide C,CP18432964,NAMPT,9606,associate
retrofractamide C,CP18432964,CDK8,9606,associate
retrofractamide C,CP18432964,NR1H4,9606,associate
retrofractamide C,CP18432964,CHRNA3,9606,associate
retrofractamide C,CP18432964,CYP51A1,9606,associate
retrofractamide C,CP18432964,PKN2,9606,associate
retrofractamide C,CP18432964,POLB,9606,associate
retrofractamide C,CP18432964,EP300,9606,associate
retrofractamide C,CP18432964,TPSAB1,9606,associate
retrofractamide C,CP18432964,PIP4K2B,9606,associate
retrofractamide C,CP18432964,DLG4,9606,associate
retrofractamide C,CP18432964,MIF,9606,associate
retrofractamide C,CP18432964,CD74,9606,associate
retrofractamide C,CP18432964,PRF1,9606,associate
retrofractamide C,CP18432964,KDM4C,9606,associate
retrofractamide C,CP18432964,HTR7,9606,associate
retrofractamide C,CP18432964,GSK3B,9606,associate
retrofractamide C,CP18432964,BMP4,9606,associate
retrofractamide C,CP18432964,NEK4,9606,associate
retrofractamide C,CP18432964,CA1,9606,associate
retrofractamide C,CP18432964,GALR1,9606,associate
retrofractamide C,CP18432964,AKT1,9606,associate
retrofractamide C,CP18432964,FES,9606,associate
retrofractamide C,CP18432964,PRKCQ,9606,associate
retrofractamide C,CP18432964,KCNA5,9606,associate
retrofractamide C,CP18432964,LDHB,9606,associate
retrofractamide C,CP18432964,SCARB1,9606,associate
retrofractamide C,CP18432964,MLYCD,9606,associate
retrofractamide C,CP18432964,CDC42BPA,9606,associate
retrofractamide C,CP18432964,S1PR4,9606,associate
retrofractamide C,CP18432964,FPR1,9606,associate
retrofractamide C,CP18432964,CA7,9606,associate
retrofractamide C,CP18432964,HLA-A,9606,associate
retrofractamide C,CP18432964,P2RY14,9606,associate
retrofractamide C,CP18432964,TNFRSF1A,9606,associate
retrofractamide C,CP18432964,TAOK3,9606,associate
retrofractamide C,CP18432964,DCTPP1,9606,associate
retrofractamide C,CP18432964,RAD51,9606,associate
