Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
"2,5-dihydroxyacetophenone",CP00009198,OTUD5,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,FAP,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,OTUB2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,JOSD1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,NEDD8,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,USP22,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,DPP9,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MAP3K8,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBE2S,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,TMEM87B,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBE2L6,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,NAE1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,APEH,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MIDN,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,USP48,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PARL,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBE2G2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,DPP8,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,OTUD6A,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBE2L3,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,DPP4,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,COX1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBL7,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBL4A,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,OTUD1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UIMC1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,DPP6,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ATXN3L,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,TMEM87A,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,DPP10,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,UBE2G1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,USP51,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,Tyr,10090,inhibit
"2,5-dihydroxyacetophenone",CP00009198,CA12,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA7,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA9,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ESR2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA14,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ESR1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,HSD17B1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,HSD17B2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MAOB,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ALOX15,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MCL1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,SENP7,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA5A,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA6,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CES2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ALPI,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,THRB,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,KCNMA1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MAOA,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MIF,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA3,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,LCK,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CTDSP1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,THRA,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CYP1A2,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PTGS1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,GALR3,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,TTR,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,APP,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,NOX4,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,TLR9,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PLA2G1B,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,ALOX5,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,NR1H4,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,S1PR4,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PRKDC,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PIM1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,STAT1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,XBP1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,PDE4B,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CYP2B6,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,KDM1A,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CLK1,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,GPR35,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,KDR,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,MAPK14,9606,associate
"2,5-dihydroxyacetophenone",CP00009198,CA4,9606,associate
