Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
4-hydroxyacetophenone,CP00006754,ALDH5A1,9606,inhibit
4-hydroxyacetophenone,CP00006754,ABAT,9606,inhibit
4-hydroxyacetophenone,CP00006754,HSD17B3,9606,associate
4-hydroxyacetophenone,CP00006754,HSD17B3,9606,inhibit
4-hydroxyacetophenone,CP00006754,UGT1A6,9606,associate
4-hydroxyacetophenone,CP00006754,UGT1A9,9606,associate
4-hydroxyacetophenone,CP00006754,AR,9606,associate
4-hydroxyacetophenone,CP00006754,BCL10,9606,associate
4-hydroxyacetophenone,CP00006754,ALDH2,9606,associate
4-hydroxyacetophenone,CP00006754,PON1,9606,associate
4-hydroxyacetophenone,CP00006754,PYGM,9606,associate
4-hydroxyacetophenone,CP00006754,CD48,9606,associate
4-hydroxyacetophenone,CP00006754,TYR,9606,associate
4-hydroxyacetophenone,CP00006754,ADK,9606,associate
4-hydroxyacetophenone,CP00006754,PYGL,9606,associate
4-hydroxyacetophenone,CP00006754,TIMM8A,9606,associate
4-hydroxyacetophenone,CP00006754,CLNK,9606,associate
4-hydroxyacetophenone,CP00006754,DHDH,9606,associate
4-hydroxyacetophenone,CP00006754,DECR1,9606,associate
4-hydroxyacetophenone,CP00006754,HPD,9606,associate
4-hydroxyacetophenone,CP00006754,ALDH1A1,9606,associate
4-hydroxyacetophenone,CP00006754,ALPL,9606,associate
4-hydroxyacetophenone,CP00006754,SIM2,9606,associate
4-hydroxyacetophenone,CP00006754,GSTA2,9606,associate
4-hydroxyacetophenone,CP00006754,PON2,9606,associate
4-hydroxyacetophenone,CP00006754,SAGE1,9606,associate
4-hydroxyacetophenone,CP00006754,GPR176,9606,associate
4-hydroxyacetophenone,CP00006754,KDM5D,9606,associate
4-hydroxyacetophenone,CP00006754,ADK,9555,associate
4-hydroxyacetophenone,CP00006754,ALDH1A1,60711,associate
4-hydroxyacetophenone,CP00006754,pygl,48698,associate
4-hydroxyacetophenone,CP00006754,pygm,48698,associate
4-hydroxyacetophenone,CP00006754,Tyr,29159,associate
4-hydroxyacetophenone,CP00006754,FAP,9606,associate
4-hydroxyacetophenone,CP00006754,ACOT8,9606,associate
4-hydroxyacetophenone,CP00006754,RASIP1,9606,associate
4-hydroxyacetophenone,CP00006754,COMP,9606,associate
4-hydroxyacetophenone,CP00006754,ACOT13,9606,associate
4-hydroxyacetophenone,CP00006754,CYP2E1,9606,associate
4-hydroxyacetophenone,CP00006754,MICAL2,9606,associate
4-hydroxyacetophenone,CP00006754,MYO1G,9606,associate
4-hydroxyacetophenone,CP00006754,CYP2C9,9606,associate
4-hydroxyacetophenone,CP00006754,HEXB,9606,associate
4-hydroxyacetophenone,CP00006754,MYO5C,9606,associate
4-hydroxyacetophenone,CP00006754,TLK2,9606,associate
4-hydroxyacetophenone,CP00006754,MYO5B,9606,associate
4-hydroxyacetophenone,CP00006754,CYP2C18,9606,associate
4-hydroxyacetophenone,CP00006754,VBP1,9606,associate
4-hydroxyacetophenone,CP00006754,WRN,9606,associate
4-hydroxyacetophenone,CP00006754,CYP2A6,9606,associate
4-hydroxyacetophenone,CP00006754,ACOT12,9606,associate
4-hydroxyacetophenone,CP00006754,FASN,9606,associate
