Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
physcion,CP00009516,ELANE,9606,inhibit
physcion,CP00009516,KDM4E,9606,associate
physcion,CP00009516,MAPT,9606,associate
physcion,CP00009516,ALDH1A1,9606,associate
physcion,CP00009516,ALOX15,9606,associate
physcion,CP00009516,HPGD,9606,associate
physcion,CP00009516,GLA,9606,associate
physcion,CP00009516,ELANE,9606,associate
physcion,CP00009516,CTSG,9606,associate
physcion,CP00009516,LCK,9606,inhibit
physcion,CP00009516,P2RY12,9606,associate
physcion,CP00009516,P2RY12,9606,inhibit
physcion,CP00009516,Txnrd2,10116,inhibit
physcion,CP00009516,VDR,9606,associate
physcion,CP00009516,POLK,9606,associate
physcion,CP00009516,USP1,9606,associate
physcion,CP00009516,LARP6,9606,inhibit
physcion,CP00009516,SLCO1B1,9606,associate
physcion,CP00009516,SLCO1B3,9606,associate
physcion,CP00009516,EPHX2,9606,associate
physcion,CP00009516,LOC110236913,1720309,inhibit
physcion,CP00009516,ATP6AP1,9606,associate
physcion,CP00009516,LAMA1,9606,associate
physcion,CP00009516,CXCL13,9606,associate
physcion,CP00009516,NOG,9606,associate
physcion,CP00009516,BAX,9606,associate
physcion,CP00009516,SPX,9606,associate
physcion,CP00009516,NR1I2,9606,associate
physcion,CP00009516,PTPN1,9606,associate
physcion,CP00009516,CDC25B,9606,associate
physcion,CP00009516,PARP1,9606,associate
physcion,CP00009516,TNS1,9606,associate
physcion,CP00009516,NPRL3,9606,associate
physcion,CP00009516,KLHDC3,9606,associate
physcion,CP00009516,MCL1,9606,associate
physcion,CP00009516,AIP,9606,associate
physcion,CP00009516,IFNB1,9606,associate
physcion,CP00009516,POLL,9606,associate
physcion,CP00009516,FOXG1,9606,associate
physcion,CP00009516,CYP51A1,9606,associate
physcion,CP00009516,DECR1,9606,associate
physcion,CP00009516,SLC25A11,9606,associate
physcion,CP00009516,PPWD1,9606,associate
physcion,CP00009516,TWSG1,9606,associate
physcion,CP00009516,FOXRED1,9606,associate
