Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
resacetophenone,CP00006291,SLC28A3,9606,inhibit
resacetophenone,CP00006291,ESR2,9606,associate
resacetophenone,CP00006291,STS,9606,associate
resacetophenone,CP00006291,IL17F,9606,associate
resacetophenone,CP00006291,CYP1A2,9606,associate
resacetophenone,CP00006291,PTGS2,9606,associate
resacetophenone,CP00006291,LSS,9606,associate
resacetophenone,CP00006291,MBD2,9606,associate
resacetophenone,CP00006291,MARS,9606,associate
resacetophenone,CP00006291,MID1,9606,associate
resacetophenone,CP00006291,ESR1,9606,associate
resacetophenone,CP00006291,CDC25B,9606,associate
resacetophenone,CP00006291,DUSP22,9606,associate
resacetophenone,CP00006291,ureB,85962,inhibit
resacetophenone,CP00006291,BCHE,9796,inhibit
resacetophenone,CP00006291,MAOA,9606,inhibit
resacetophenone,CP00006291,MAOB,9606,inhibit
resacetophenone,CP00006291,CA12,9606,associate
resacetophenone,CP00006291,CA7,9606,associate
resacetophenone,CP00006291,CA1,9606,associate
resacetophenone,CP00006291,CA2,9606,associate
resacetophenone,CP00006291,CA9,9606,associate
resacetophenone,CP00006291,CA14,9606,associate
resacetophenone,CP00006291,CES2,9606,associate
resacetophenone,CP00006291,MAOB,9606,associate
resacetophenone,CP00006291,HSD17B1,9606,associate
resacetophenone,CP00006291,ALOX15,9606,associate
resacetophenone,CP00006291,STAT1,9606,associate
resacetophenone,CP00006291,TTR,9606,associate
resacetophenone,CP00006291,SENP7,9606,associate
resacetophenone,CP00006291,MAOA,9606,associate
resacetophenone,CP00006291,ALOX5,9606,associate
resacetophenone,CP00006291,AKR1B1,9606,associate
resacetophenone,CP00006291,DYRK1A,9606,associate
resacetophenone,CP00006291,CA3,9606,associate
resacetophenone,CP00006291,HSD17B2,9606,associate
resacetophenone,CP00006291,PTPN1,9606,associate
resacetophenone,CP00006291,GPR35,9606,associate
resacetophenone,CP00006291,CA6,9606,associate
resacetophenone,CP00006291,TYR,9606,associate
resacetophenone,CP00006291,PDK1,9606,associate
resacetophenone,CP00006291,S1PR4,9606,associate
resacetophenone,CP00006291,ALOX12,9606,associate
resacetophenone,CP00006291,MMP9,9606,associate
resacetophenone,CP00006291,NCOA3,9606,associate
resacetophenone,CP00006291,PTGS1,9606,associate
resacetophenone,CP00006291,CTDSP1,9606,associate
resacetophenone,CP00006291,PRKDC,9606,associate
resacetophenone,CP00006291,PIM1,9606,associate
resacetophenone,CP00006291,GALR3,9606,associate
resacetophenone,CP00006291,CA5A,9606,associate
resacetophenone,CP00006291,ALPI,9606,associate
resacetophenone,CP00006291,XBP1,9606,associate
resacetophenone,CP00006291,CYP2B6,9606,associate
resacetophenone,CP00006291,CA5B,9606,associate
resacetophenone,CP00006291,KCNA1,9606,associate
resacetophenone,CP00006291,NOX4,9606,associate
resacetophenone,CP00006291,HSD17B3,9606,associate
resacetophenone,CP00006291,AKR1C3,9606,associate
resacetophenone,CP00006291,NQO2,9606,associate
resacetophenone,CP00006291,STAT3,9606,associate
resacetophenone,CP00006291,SMAD3,9606,associate
resacetophenone,CP00006291,HSP90AA1,9606,associate
resacetophenone,CP00006291,MKNK2,9606,associate
resacetophenone,CP00006291,CSNK1A1,9606,associate
resacetophenone,CP00006291,MMP1,9606,associate
resacetophenone,CP00006291,TGFBR2,9606,associate
resacetophenone,CP00006291,SLCO1B1,9606,associate
resacetophenone,CP00006291,STK4,9606,associate
