Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
chlorogenic acid,CP01484737,AKR1B1,9606,inhibit
chlorogenic acid,CP01484737,AKR1B10,9606,inhibit
chlorogenic acid,CP01484737,PTGS2,9606,associate
chlorogenic acid,CP01484737,LCK,9606,associate
chlorogenic acid,CP01484737,SRC,9606,associate
chlorogenic acid,CP01484737,STAT1,9606,associate
chlorogenic acid,CP01484737,STAT3,9606,associate
chlorogenic acid,CP01484737,STAT5B,9606,associate
chlorogenic acid,CP01484737,HDAC10,9606,associate
chlorogenic acid,CP01484737,HDAC10,9606,inhibit
chlorogenic acid,CP01484737,KDM4A,9606,associate
chlorogenic acid,CP01484737,SV40gp6,1891767,inhibit
chlorogenic acid,CP01484737,EHMT2,9606,associate
chlorogenic acid,CP01484737,UGT1A6,9606,associate
chlorogenic acid,CP01484737,UGT1A9,9606,associate
chlorogenic acid,CP01484737,Akr1b1,10116,inhibit
chlorogenic acid,CP01484737,GLS,9606,associate
chlorogenic acid,CP01484737,GMNN,9606,associate
chlorogenic acid,CP01484737,APP,9606,inhibit
chlorogenic acid,CP01484737,SLCO1B1,9606,associate
chlorogenic acid,CP01484737,SLCO1B3,9606,associate
chlorogenic acid,CP01484737,RAPGEF4,9606,associate
chlorogenic acid,CP01484737,RAPGEF3,9606,associate
chlorogenic acid,CP01484737,SLC37A4,9606,inhibit
chlorogenic acid,CP01484737,MAPK1,9606,associate
chlorogenic acid,CP01484737,ALPI,9606,associate
chlorogenic acid,CP01484737,SRD5A2,9606,associate
chlorogenic acid,CP01484737,NOS2,9606,associate
chlorogenic acid,CP01484737,PIK3R1,9606,associate
chlorogenic acid,CP01484737,IL6,9606,associate
chlorogenic acid,CP01484737,PGR,9606,associate
chlorogenic acid,CP01484737,HSPB1,9606,associate
chlorogenic acid,CP01484737,MYD88,9606,associate
chlorogenic acid,CP01484737,UGT1A10,9606,associate
chlorogenic acid,CP01484737,TPT1,9606,associate
chlorogenic acid,CP01484737,MAP2K4,9606,associate
chlorogenic acid,CP01484737,BRIX1,9606,associate
chlorogenic acid,CP01484737,FASN,9606,associate
chlorogenic acid,CP01484737,COL1A1,9606,associate
chlorogenic acid,CP01484737,TYRP1,9606,associate
