Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
cynarin,CP04450781,GPT,9606,associate
cynarin,CP04450781,LCK,9606,associate
cynarin,CP04450781,SRC,9606,associate
cynarin,CP04450781,STAT1,9606,associate
cynarin,CP04450781,STAT3,9606,associate
cynarin,CP04450781,STAT5B,9606,associate
cynarin,CP04450781,NMRK2,9606,associate
cynarin,CP04450781,UNG,9606,associate
cynarin,CP04450781,SLC35C2,9606,associate
cynarin,CP04450781,SLC35F5,9606,associate
cynarin,CP04450781,SLC35A2,9606,associate
cynarin,CP04450781,SDS,9606,associate
cynarin,CP04450781,SLC35A4,9606,associate
cynarin,CP04450781,SRR,9606,associate
cynarin,CP04450781,SDSL,9606,associate
cynarin,CP04450781,SLC35F6,9606,associate
cynarin,CP04450781,UCKL1,9606,associate
cynarin,CP04450781,SLC35F1,9606,associate
cynarin,CP04450781,NMRK1,9606,associate
cynarin,CP04450781,UCK2,9606,associate
cynarin,CP04450781,SLC35A1,9606,associate
cynarin,CP04450781,STIL,9606,associate
cynarin,CP04450781,UCK1,9606,associate
cynarin,CP04450781,SLC35B3,9606,associate
cynarin,CP04450781,SLC35B2,9606,associate
cynarin,CP04450781,SLC35G1,9606,associate
cynarin,CP04450781,SLC35A5,9606,associate
cynarin,CP04450781,Maoa,10090,associate
cynarin,CP04450781,Maob,10090,associate
cynarin,CP04450781,LCK,9606,inhibit
cynarin,CP04450781,SRC,9606,inhibit
cynarin,CP04450781,STAT1,9606,inhibit
cynarin,CP04450781,STAT3,9606,inhibit
cynarin,CP04450781,STAT5B,9606,inhibit
cynarin,CP04450781,Tyr,10090,inhibit
cynarin,CP04450781,APP,9606,associate
cynarin,CP04450781,AKR1B10,9606,associate
cynarin,CP04450781,AKR1B1,9606,associate
cynarin,CP04450781,MMP2,9606,associate
cynarin,CP04450781,MMP13,9606,associate
cynarin,CP04450781,MMP12,9606,associate
cynarin,CP04450781,MMP9,9606,associate
cynarin,CP04450781,SELP,9606,associate
cynarin,CP04450781,CA7,9606,associate
cynarin,CP04450781,CA4,9606,associate
cynarin,CP04450781,PTPN1,9606,associate
cynarin,CP04450781,MMP1,9606,associate
cynarin,CP04450781,PTGS1,9606,associate
cynarin,CP04450781,CA2,9606,associate
cynarin,CP04450781,CA9,9606,associate
cynarin,CP04450781,HK2,9606,associate
cynarin,CP04450781,EGFR,9606,associate
cynarin,CP04450781,FUCA1,9606,associate
cynarin,CP04450781,CHRM3,9606,associate
cynarin,CP04450781,CA6,9606,associate
cynarin,CP04450781,POLB,9606,associate
cynarin,CP04450781,CA1,9606,associate
cynarin,CP04450781,PRKCQ,9606,associate
cynarin,CP04450781,MAOB,9606,associate
cynarin,CP04450781,PGR,9606,associate
cynarin,CP04450781,CA5A,9606,associate
cynarin,CP04450781,ALB,9606,associate
cynarin,CP04450781,MAOA,9606,associate
cynarin,CP04450781,RARG,9606,associate
cynarin,CP04450781,F2,9606,associate
cynarin,CP04450781,ESR1,9606,associate
cynarin,CP04450781,ALPPL2,9606,associate
cynarin,CP04450781,CA13,9606,associate
cynarin,CP04450781,MMP8,9606,associate
cynarin,CP04450781,MCL1,9606,associate
cynarin,CP04450781,MARK3,9606,associate
cynarin,CP04450781,CA14,9606,associate
cynarin,CP04450781,GRM3,9606,associate
cynarin,CP04450781,ROCK1,9606,associate
cynarin,CP04450781,MELK,9606,associate
cynarin,CP04450781,F3,9606,associate
cynarin,CP04450781,KCNA3,9606,associate
cynarin,CP04450781,MAPK12,9606,associate
cynarin,CP04450781,HCN1,9606,associate
cynarin,CP04450781,TAOK1,9606,associate
cynarin,CP04450781,CA12,9606,associate
cynarin,CP04450781,TGFBR2,9606,associate
cynarin,CP04450781,SLCO1B1,9606,associate
cynarin,CP04450781,STK4,9606,associate
cynarin,CP04450781,VCAM1,9606,associate
cynarin,CP04450781,ADCY1,9606,associate
cynarin,CP04450781,ADAMTS4,9606,associate
cynarin,CP04450781,CFTR,9606,associate
cynarin,CP04450781,CYP11B2,9606,associate
cynarin,CP04450781,GGPS1,9606,associate
cynarin,CP04450781,CACNA1B,9606,associate
cynarin,CP04450781,FGF1,9606,associate
cynarin,CP04450781,FCER2,9606,associate
cynarin,CP04450781,FOLR1,9606,associate
cynarin,CP04450781,ALOX5AP,9606,associate
cynarin,CP04450781,PDK2,9606,associate
cynarin,CP04450781,PHOSPHO1,9606,associate
cynarin,CP04450781,TMPRSS11D,9606,associate
cynarin,CP04450781,TMPRSS6,9606,associate
cynarin,CP04450781,PRKCE,9606,associate
