Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
cynarine,CP04926693,MYBL2,9606,associate
cynarine,CP04926693,FAAH,9606,associate
cynarine,CP04926693,FARS2,9606,associate
cynarine,CP04926693,FARSB,9606,associate
cynarine,CP04926693,SNAPC4,9606,associate
cynarine,CP04926693,RPLP2,9606,associate
cynarine,CP04926693,MYB,9606,associate
cynarine,CP04926693,RPLP1,9606,associate
cynarine,CP04926693,LRRC47,9606,associate
cynarine,CP04926693,MYBL1,9606,associate
cynarine,CP04926693,PAH,9606,associate
