Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
gluconate,CP00000560,SLC6A8,9606,activate
gluconate,CP00000560,KIF3C,9606,activate
gluconate,CP00000560,SEMA6C,9606,activate
gluconate,CP00000560,KCNC1,9606,activate
gluconate,CP00000560,ATP6V1F,9606,activate
gluconate,CP00000560,GRK2,9606,activate
gluconate,CP00000560,CLDN19,9606,associate
gluconate,CP00000560,NR1D2,9606,activate
gluconate,CP00000560,PRKAR1A,9606,activate
gluconate,CP00000560,RARA,9606,activate
gluconate,CP00000560,SLC22A6,9606,inhibit
gluconate,CP00000560,CAT,9606,associate
gluconate,CP00000560,SIRPA,9606,activate
gluconate,CP00000560,CBLB,9606,associate
gluconate,CP00000560,RXRG,9606,activate
gluconate,CP00000560,HAO1,9606,associate
gluconate,CP00000560,NAGLU,9606,associate
gluconate,CP00000560,SLC32A1,9606,associate
gluconate,CP00000560,CLCA1,9606,associate
gluconate,CP00000560,PKLR,9606,associate
gluconate,CP00000560,E4F1,9606,associate
gluconate,CP00000560,SSTR3,9606,activate
gluconate,CP00000560,SLC15A2,9606,activate
gluconate,CP00000560,SLC4A7,9606,associate
gluconate,CP00000560,CACNA2D1,9606,associate
gluconate,CP00000560,SLC6A5,9606,associate
gluconate,CP00000560,PRKCA,9606,activate
gluconate,CP00000560,CALCA,9606,associate
gluconate,CP00000560,ARNT2,9606,activate
gluconate,CP00000560,GNL3,9606,associate
gluconate,CP00000560,SAG,9606,associate
gluconate,CP00000560,LGALS1,9606,associate
gluconate,CP00000560,PCMT1,9606,associate
gluconate,CP00000560,ACSBG1,9606,associate
gluconate,CP00000560,FYN,9606,associate
gluconate,CP00000560,GSC2,9606,associate
gluconate,CP00000560,PRB4,9606,associate
gluconate,CP00000560,PGAP2,9606,activate
gluconate,CP00000560,PGK2,9606,associate
gluconate,CP00000560,GNB1L,9606,associate
gluconate,CP00000560,MDH2,9606,activate
gluconate,CP00000560,MINOS1-NBL1,9606,associate
gluconate,CP00000560,RGN,9606,associate
