Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
linoleic acid,CP00003601,PRSS21,9606,associate
linoleic acid,CP00003601,KLK14,9606,associate
linoleic acid,CP00003601,PRSS22,9606,associate
linoleic acid,CP00003601,NMRK2,9606,associate
linoleic acid,CP00003601,CETP,9606,associate
linoleic acid,CP00003601,TPSD1,9606,associate
linoleic acid,CP00003601,VCL,9606,associate
linoleic acid,CP00003601,ATP5F1D,9606,associate
linoleic acid,CP00003601,ACR,9606,associate
linoleic acid,CP00003601,TAB1,9606,associate
linoleic acid,CP00003601,PMM1,9606,associate
linoleic acid,CP00003601,CTSG,9606,associate
linoleic acid,CP00003601,GZMH,9606,associate
linoleic acid,CP00003601,GZMB,9606,associate
linoleic acid,CP00003601,PCK2,9606,associate
linoleic acid,CP00003601,ACOT8,9606,associate
linoleic acid,CP00003601,F9,9606,associate
linoleic acid,CP00003601,GPR50,9606,associate
linoleic acid,CP00003601,PRSS54,9606,associate
linoleic acid,CP00003601,FA2H,9606,associate
linoleic acid,CP00003601,DECR2,9606,associate
linoleic acid,CP00003601,DECR1,9606,associate
linoleic acid,CP00003601,PLAT,9606,associate
linoleic acid,CP00003601,GSR,9606,associate
linoleic acid,CP00003601,PON1,9606,associate
linoleic acid,CP00003601,HGF,9606,associate
linoleic acid,CP00003601,MOSPD3,9606,associate
linoleic acid,CP00003601,SERPINE1,9606,associate
linoleic acid,CP00003601,CCL2,9606,associate
linoleic acid,CP00003601,DGAT2,9606,associate
linoleic acid,CP00003601,GAPDH,9606,associate
linoleic acid,CP00003601,LOX,9606,associate
linoleic acid,CP00003601,GZMK,9606,associate
linoleic acid,CP00003601,NR3C1,9606,associate
linoleic acid,CP00003601,AADAC,9606,associate
linoleic acid,CP00003601,APOB,9606,associate
linoleic acid,CP00003601,AZU1,9606,associate
linoleic acid,CP00003601,PROC,9606,associate
linoleic acid,CP00003601,PRTN3,9606,associate
linoleic acid,CP00003601,TPSG1,9606,associate
linoleic acid,CP00003601,APOA1,9606,associate
linoleic acid,CP00003601,NFYB,9606,associate
linoleic acid,CP00003601,TBX2,9606,associate
linoleic acid,CP00003601,CAT,9606,associate
linoleic acid,CP00003601,UNG,9606,associate
linoleic acid,CP00003601,EBPL,9606,associate
linoleic acid,CP00003601,MOCS3,9606,associate
linoleic acid,CP00003601,LIPE,9606,associate
linoleic acid,CP00003601,GOT2,9606,associate
linoleic acid,CP00003601,SOX9,9606,associate
linoleic acid,CP00003601,FFAR1,9606,associate
linoleic acid,CP00003601,CANX,9606,associate
linoleic acid,CP00003601,PIN1,9606,associate
linoleic acid,CP00003601,GALR3,9606,associate
linoleic acid,CP00003601,TST,9606,associate
linoleic acid,CP00003601,KLK12,9606,associate
linoleic acid,CP00003601,CMA1,9606,associate
linoleic acid,CP00003601,ALOX12,9606,associate
linoleic acid,CP00003601,RAF1,9606,associate
linoleic acid,CP00003601,KRT5,9606,associate
linoleic acid,CP00003601,APOE,9606,associate
linoleic acid,CP00003601,SLC27A1,9606,associate
linoleic acid,CP00003601,F12,9606,associate
linoleic acid,CP00003601,GFPT2,9606,associate
linoleic acid,CP00003601,G6PC,9606,associate
linoleic acid,CP00003601,CRP,9606,associate
linoleic acid,CP00003601,FABP4,9606,associate
linoleic acid,CP00003601,MTNR1B,9606,associate
linoleic acid,CP00003601,NT5E,9606,associate
linoleic acid,CP00003601,IL6,9606,associate
linoleic acid,CP00003601,ADAM10,9606,associate
linoleic acid,CP00003601,HEXB,9606,associate
linoleic acid,CP00003601,SCARB1,9606,associate
linoleic acid,CP00003601,TRPA1,9606,associate
linoleic acid,CP00003601,HPN,9606,associate
linoleic acid,CP00003601,PPARA,9606,associate
linoleic acid,CP00003601,E2F3,9606,associate
linoleic acid,CP00003601,MAP2K2,9606,associate
linoleic acid,CP00003601,TYR,9606,associate
linoleic acid,CP00003601,ELANE,9606,associate
linoleic acid,CP00003601,LCAT,9606,associate
linoleic acid,CP00003601,PPAT,9606,associate
linoleic acid,CP00003601,BCHE,9606,associate
linoleic acid,CP00003601,GZMM,9606,associate
linoleic acid,CP00003601,KLKB1,9606,associate
linoleic acid,CP00003601,CAD,9606,associate
linoleic acid,CP00003601,SCARB2,9606,associate
linoleic acid,CP00003601,XRN1,9606,associate
linoleic acid,CP00003601,GPAM,9606,associate
linoleic acid,CP00003601,EXOSC7,9606,associate
linoleic acid,CP00003601,CPT1A,9606,associate
linoleic acid,CP00003601,C1RL,9606,associate
linoleic acid,CP00003601,KRT71,9606,associate
linoleic acid,CP00003601,HEXA,9606,associate
linoleic acid,CP00003601,PMM2,9606,associate
linoleic acid,CP00003601,PRSS36,9606,associate
linoleic acid,CP00003601,UQCRC2,9606,associate
linoleic acid,CP00003601,GATA6,9606,associate
linoleic acid,CP00003601,AKT1,9606,associate
linoleic acid,CP00003601,AGTR1,9606,associate
linoleic acid,CP00003601,FTH1,9606,associate
linoleic acid,CP00003601,CORIN,9606,associate
linoleic acid,CP00003601,FABP2,9606,associate
linoleic acid,CP00003601,GZMA,9606,associate
linoleic acid,CP00003601,GNRH1,9606,associate
linoleic acid,CP00003601,HABP2,9606,associate
linoleic acid,CP00003601,ST14,9606,associate
linoleic acid,CP00003601,FADS3,9606,associate
linoleic acid,CP00003601,FADS2,9606,associate
linoleic acid,CP00003601,PRSS53,9606,associate
linoleic acid,CP00003601,OXSM,9606,associate
linoleic acid,CP00003601,DIP2C,9606,associate
linoleic acid,CP00003601,ACSL1,9606,associate
linoleic acid,CP00003601,TMPRSS11D,9606,associate
linoleic acid,CP00003601,C10orf90,9606,associate
linoleic acid,CP00003601,TMPRSS15,9606,associate
linoleic acid,CP00003601,FANCD2,9606,associate
linoleic acid,CP00003601,PPARG,9606,associate
linoleic acid,CP00003601,HMGCR,9606,associate
linoleic acid,CP00003601,PDF,9606,associate
linoleic acid,CP00003601,NPC1L1,9606,associate
linoleic acid,CP00003601,CELA3A,9606,associate
linoleic acid,CP00003601,MCAT,9606,associate
linoleic acid,CP00003601,FLAD1,9606,associate
linoleic acid,CP00003601,DBN1,9606,associate
linoleic acid,CP00003601,CELA1,9606,associate
linoleic acid,CP00003601,ALOX15,9606,associate
linoleic acid,CP00003601,PRSS33,9606,associate
linoleic acid,CP00003601,VCAM1,9606,associate
linoleic acid,CP00003601,MEMO1,9606,associate
linoleic acid,CP00003601,EIF5A2,9606,associate
linoleic acid,CP00003601,FABP1,9606,associate
linoleic acid,CP00003601,ALB,9606,associate
linoleic acid,CP00003601,HPS3,9606,associate
linoleic acid,CP00003601,MASP1,9606,associate
linoleic acid,CP00003601,PRSS12,9606,associate
linoleic acid,CP00003601,PRSS37,9606,associate
linoleic acid,CP00003601,C2,9606,associate
linoleic acid,CP00003601,TPP1,9606,associate
linoleic acid,CP00003601,GALR1,9606,associate
linoleic acid,CP00003601,TMPRSS5,9606,associate
linoleic acid,CP00003601,MED1,9606,associate
linoleic acid,CP00003601,DIP2B,9606,associate
linoleic acid,CP00003601,KLK1,9606,associate
linoleic acid,CP00003601,ANGPTL4,9606,associate
linoleic acid,CP00003601,CYP7A1,9606,associate
linoleic acid,CP00003601,MTNR1A,9606,associate
linoleic acid,CP00003601,HDAC3,9606,associate
linoleic acid,CP00003601,PCSK9,9606,associate
linoleic acid,CP00003601,PTGDR,9606,associate
linoleic acid,CP00003601,CTRB2,9606,associate
linoleic acid,CP00003601,THOP1,9606,associate
linoleic acid,CP00003601,FASN,9606,associate
linoleic acid,CP00003601,SLC26A5,9606,associate
linoleic acid,CP00003601,UGT1A1,9606,associate
linoleic acid,CP00003601,NXNL1,9606,associate
linoleic acid,CP00003601,LRTOMT,9606,associate
linoleic acid,CP00003601,FOS,9606,associate
linoleic acid,CP00003601,PRSS27,9606,associate
linoleic acid,CP00003601,CXCL8,9606,associate
linoleic acid,CP00003601,KLF11,9606,associate
linoleic acid,CP00003601,KRT74,9606,associate
linoleic acid,CP00003601,TMPRSS11E,9606,associate
linoleic acid,CP00003601,CD36,9606,associate
linoleic acid,CP00003601,CYB5B,9606,associate
linoleic acid,CP00003601,F2,9606,associate
linoleic acid,CP00003601,PRSS1,9606,associate
linoleic acid,CP00003601,PLG,9606,associate
linoleic acid,CP00003601,OLR1,9606,associate
linoleic acid,CP00003601,KLK6,9606,associate
linoleic acid,CP00003601,LCLAT1,9606,associate
linoleic acid,CP00003601,PPARD,9606,associate
linoleic acid,CP00003601,KLK10,9606,associate
linoleic acid,CP00003601,UCP2,9606,associate
linoleic acid,CP00003601,TRIB1,9606,associate
linoleic acid,CP00003601,CPT1B,9606,associate
linoleic acid,CP00003601,PLA2G1B,9606,associate
linoleic acid,CP00003601,LEP,9606,associate
linoleic acid,CP00003601,KLK2,9606,associate
linoleic acid,CP00003601,KLK3,9606,associate
linoleic acid,CP00003601,SCD5,9606,associate
linoleic acid,CP00003601,PRSS8,9606,associate
linoleic acid,CP00003601,PCK1,9606,associate
linoleic acid,CP00003601,ADIPOQ,9606,associate
linoleic acid,CP00003601,LPA,9606,associate
linoleic acid,CP00003601,FADS1,9606,associate
linoleic acid,CP00003601,EBF1,9606,associate
linoleic acid,CP00003601,KLK4,9606,associate
linoleic acid,CP00003601,PRSS50,9606,associate
linoleic acid,CP00003601,CLGN,9606,associate
linoleic acid,CP00003601,OVCH1,9606,associate
linoleic acid,CP00003601,PRSS57,9606,associate
linoleic acid,CP00003601,CSF1,9606,associate
linoleic acid,CP00003601,C1S,9606,associate
linoleic acid,CP00003601,AFMID,9606,associate
linoleic acid,CP00003601,TSPO,9606,associate
linoleic acid,CP00003601,GALR2,9606,associate
linoleic acid,CP00003601,LEPR,9606,associate
linoleic acid,CP00003601,TMPRSS11B,9606,associate
linoleic acid,CP00003601,SELE,9606,associate
linoleic acid,CP00003601,CFD,9606,associate
linoleic acid,CP00003601,PTGDR2,9606,associate
linoleic acid,CP00003601,PRSS55,9606,associate
linoleic acid,CP00003601,PLA2G6,9606,associate
linoleic acid,CP00003601,ACAA1,9606,associate
linoleic acid,CP00003601,TMPRSS11A,9606,associate
linoleic acid,CP00003601,TMPRSS6,9606,associate
linoleic acid,CP00003601,EIF5A,9606,associate
linoleic acid,CP00003601,NXN,9606,associate
linoleic acid,CP00003601,KLK5,9606,associate
linoleic acid,CP00003601,CELA3B,9606,associate
linoleic acid,CP00003601,ACSL4,9606,associate
linoleic acid,CP00003601,ACACB,9606,associate
linoleic acid,CP00003601,CYB5A,9606,associate
linoleic acid,CP00003601,PPCDC,9606,associate
linoleic acid,CP00003601,TPSAB1,9606,associate
linoleic acid,CP00003601,TMEM189-UBE2V1,9606,associate
linoleic acid,CP00003601,VAPA,9606,associate
linoleic acid,CP00003601,GPX4,9606,associate
linoleic acid,CP00003601,UCKL1,9606,associate
linoleic acid,CP00003601,SREBF1,9606,associate
linoleic acid,CP00003601,HP,9606,associate
linoleic acid,CP00003601,ACSL5,9606,associate
linoleic acid,CP00003601,TMPRSS11F,9606,associate
linoleic acid,CP00003601,AADACL2,9606,associate
linoleic acid,CP00003601,ACSL3,9606,associate
