Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
myo-inositol,CP00000834,LMNA,9606,associate
myo-inositol,CP00000834,GLA,9606,associate
myo-inositol,CP00000834,ACR,9606,associate
myo-inositol,CP00000834,LARP6,9606,inhibit
myo-inositol,CP00000834,TARDBP,9606,associate
myo-inositol,CP00000834,APP,9606,inhibit
myo-inositol,CP00000834,POLI,9606,associate
myo-inositol,CP00000834,Gaa,10116,associate
myo-inositol,CP00000834,Si,10116,associate
myo-inositol,CP00000834,GMNN,9606,associate
myo-inositol,CP00000834,SLC5A1,9606,associate
myo-inositol,CP00000834,MGAT4C,9606,associate
myo-inositol,CP00000834,ITPR2,9606,associate
myo-inositol,CP00000834,GSK3B,9606,associate
myo-inositol,CP00000834,RARB,9606,associate
myo-inositol,CP00000834,LPAR2,9606,associate
myo-inositol,CP00000834,GRHL3,9606,associate
myo-inositol,CP00000834,PAX3,9606,associate
myo-inositol,CP00000834,KCNRG,9606,associate
myo-inositol,CP00000834,UGDH,9606,associate
myo-inositol,CP00000834,OPRM1,9606,associate
myo-inositol,CP00000834,HCCS,9606,associate
myo-inositol,CP00000834,CDIPT,9606,activate
myo-inositol,CP00000834,TRIM61,9606,associate
myo-inositol,CP00000834,AIMP1,9606,associate
myo-inositol,CP00000834,PIM2,9606,associate
myo-inositol,CP00000834,BRAP,9606,associate
myo-inositol,CP00000834,PDE4A,9606,associate
myo-inositol,CP00000834,INPP1,9606,associate
myo-inositol,CP00000834,MAT1A,9606,associate
myo-inositol,CP00000834,CKMT2,9606,associate
myo-inositol,CP00000834,CHKA,9606,associate
myo-inositol,CP00000834,NPY,9606,associate
myo-inositol,CP00000834,SIGMAR1,9606,associate
myo-inositol,CP00000834,GRHL2,9606,associate
myo-inositol,CP00000834,ITPR3,9606,associate
myo-inositol,CP00000834,CDS1,9606,associate
myo-inositol,CP00000834,TDGF1,9606,associate
myo-inositol,CP00000834,CKM,9606,associate
myo-inositol,CP00000834,GRHL1,9606,associate
myo-inositol,CP00000834,PDP1,9606,associate
myo-inositol,CP00000834,PLCXD3,9606,associate
myo-inositol,CP00000834,MIOX,9606,associate
myo-inositol,CP00000834,NFAT5,9606,associate
myo-inositol,CP00000834,PRKCG,9606,associate
myo-inositol,CP00000834,IMPA2,9606,associate
myo-inositol,CP00000834,ITPK1,9606,associate
myo-inositol,CP00000834,GJC2,9606,associate
myo-inositol,CP00000834,GABRE,9606,associate
myo-inositol,CP00000834,LPAR1,9606,associate
myo-inositol,CP00000834,GABRA3,9606,associate
myo-inositol,CP00000834,NTNG1,9606,associate
myo-inositol,CP00000834,PLP1,9606,associate
myo-inositol,CP00000834,GBA,9606,associate
myo-inositol,CP00000834,PI4KB,9606,associate
myo-inositol,CP00000834,MRPS6,9606,associate
myo-inositol,CP00000834,ECI1,9606,associate
myo-inositol,CP00000834,CDS2,9606,associate
myo-inositol,CP00000834,SLC2A1,9606,associate
myo-inositol,CP00000834,CDO1,9606,associate
myo-inositol,CP00000834,SLC5A2,9606,associate
myo-inositol,CP00000834,PDIA3,9606,associate
myo-inositol,CP00000834,INTS1,9606,associate
myo-inositol,CP00000834,DPM1,9606,associate
myo-inositol,CP00000834,OPRK1,9606,associate
myo-inositol,CP00000834,PRKCA,9606,associate
myo-inositol,CP00000834,OGFR,9606,associate
myo-inositol,CP00000834,FAM126A,9606,associate
myo-inositol,CP00000834,PSENEN,9606,associate
myo-inositol,CP00000834,CRLS1,9606,associate
myo-inositol,CP00000834,AK6,9606,associate
myo-inositol,CP00000834,KNG1,9606,associate
myo-inositol,CP00000834,SLC4A1,9606,associate
myo-inositol,CP00000834,PRKAR2A,9606,associate
myo-inositol,CP00000834,IPMK,9606,associate
myo-inositol,CP00000834,IMPAD1,9606,associate
myo-inositol,CP00000834,CACNA1A,9606,associate
myo-inositol,CP00000834,SLC2A6,9606,associate
myo-inositol,CP00000834,IMPA1,9606,associate
myo-inositol,CP00000834,CDIPT,9606,associate
myo-inositol,CP00000834,LPAR3,9606,associate
myo-inositol,CP00000834,GDE1,9606,associate
myo-inositol,CP00000834,LCT,9606,associate
myo-inositol,CP00000834,GAST,9606,associate
myo-inositol,CP00000834,SLC6A6,9606,associate
myo-inositol,CP00000834,DNAH8,9606,associate
myo-inositol,CP00000834,ITPKB,9606,associate
myo-inositol,CP00000834,PMM1,9606,associate
myo-inositol,CP00000834,SLC38A4,9606,associate
myo-inositol,CP00000834,POU3F4,9606,associate
myo-inositol,CP00000834,OPRL1,9606,associate
myo-inositol,CP00000834,PSEN1,9606,associate
myo-inositol,CP00000834,OCRL,9606,associate
myo-inositol,CP00000834,OPA1,9606,associate
myo-inositol,CP00000834,GLRA2,9606,associate
myo-inositol,CP00000834,GIPC1,9606,associate
myo-inositol,CP00000834,GLUD2,9606,associate
myo-inositol,CP00000834,INS-IGF2,9606,associate
myo-inositol,CP00000834,PDYN,9606,associate
myo-inositol,CP00000834,GPM6B,9606,associate
myo-inositol,CP00000834,SLC6A12,9606,associate
myo-inositol,CP00000834,OPRD1,9606,associate
myo-inositol,CP00000834,MAPT,9606,associate
myo-inositol,CP00000834,MARCH7,9606,associate
myo-inositol,CP00000834,PDZD4,9606,associate
myo-inositol,CP00000834,PRKCZ,9606,associate
myo-inositol,CP00000834,PIK3R4,9606,associate
myo-inositol,CP00000834,AKR1B1,9606,associate
myo-inositol,CP00000834,PRKCB,9606,associate
myo-inositol,CP00000834,SLC2A13,9606,associate
myo-inositol,CP00000834,SLC2A8,9606,associate
myo-inositol,CP00000834,L1CAM,9606,associate
myo-inositol,CP00000834,PRKCE,9606,associate
myo-inositol,CP00000834,MAT2A,9606,associate
myo-inositol,CP00000834,ATXN1,9606,associate
myo-inositol,CP00000834,PGK1,9606,associate
myo-inositol,CP00000834,CKB,9606,associate
myo-inositol,CP00000834,ARIH1,9606,associate
myo-inositol,CP00000834,SLC5A11,9606,associate
myo-inositol,CP00000834,DYNC1LI1,9606,associate
myo-inositol,CP00000834,USP1,9606,associate
myo-inositol,CP00000834,ISYNA1,9606,associate
myo-inositol,CP00000834,CDON,9606,associate
myo-inositol,CP00000834,PIK3C3,9606,associate
myo-inositol,CP00000834,TCF20,9606,associate
myo-inositol,CP00000834,PIM1,9606,associate
myo-inositol,CP00000834,IPPK,9606,associate
myo-inositol,CP00000834,FXYD1,9606,associate
myo-inositol,CP00000834,GLUD1,9606,associate
myo-inositol,CP00000834,PI4K2B,9606,associate
myo-inositol,CP00000834,PLCXD1,9606,associate
myo-inositol,CP00000834,SGK1,9606,associate
myo-inositol,CP00000834,PI4K2A,9606,associate
myo-inositol,CP00000834,SGK2,9606,associate
myo-inositol,CP00000834,SLC16A2,9606,associate
myo-inositol,CP00000834,PRKCD,9606,associate
myo-inositol,CP00000834,PNOC,9606,associate
myo-inositol,CP00000834,PIK3CG,9606,associate
myo-inositol,CP00000834,MINPP1,9606,associate
myo-inositol,CP00000834,MECP2,9606,associate
myo-inositol,CP00000834,GRPR,9606,associate
myo-inositol,CP00000834,CKMT1B,9606,associate
myo-inositol,CP00000834,RNASE2,9606,associate
myo-inositol,CP00000834,SORD,9606,associate
myo-inositol,CP00000834,ATF3,9606,associate
myo-inositol,CP00000834,SLC38A1,9606,associate
myo-inositol,CP00000834,PLK1,9606,associate
myo-inositol,CP00000834,TES,9606,associate
myo-inositol,CP00000834,ITPA,9606,associate
myo-inositol,CP00000834,ABCD1,9606,associate
myo-inositol,CP00000834,PLEK,9606,associate
myo-inositol,CP00000834,GDI1,9606,associate
myo-inositol,CP00000834,MITF,9606,associate
myo-inositol,CP00000834,CFTR,9606,associate
myo-inositol,CP00000834,SLC7A2,9606,associate
myo-inositol,CP00000834,PRSS21,9606,associate
myo-inositol,CP00000834,NDUFAB1,9606,associate
myo-inositol,CP00000834,RANBP9,9606,associate
myo-inositol,CP00000834,SLC7A9,9606,associate
myo-inositol,CP00000834,OTC,9606,associate
myo-inositol,CP00000834,INPP4A,9606,associate
myo-inositol,CP00000834,SLC2A3,9606,associate
myo-inositol,CP00000834,STYK1,9606,associate
myo-inositol,CP00000834,GNA11,9606,associate
myo-inositol,CP00000834,TRIB2,9606,associate
myo-inositol,CP00000834,KLK14,9606,associate
myo-inositol,CP00000834,CAMKK1,9606,associate
myo-inositol,CP00000834,PRSS22,9606,associate
myo-inositol,CP00000834,PIGB,9606,associate
myo-inositol,CP00000834,EPHA8,9606,associate
myo-inositol,CP00000834,TBX21,9606,associate
myo-inositol,CP00000834,TIGAR,9606,associate
myo-inositol,CP00000834,MTMR7,9606,associate
myo-inositol,CP00000834,ABCC6,9606,associate
myo-inositol,CP00000834,TGM1,9606,associate
myo-inositol,CP00000834,ADH1A,9606,associate
myo-inositol,CP00000834,TPSD1,9606,associate
myo-inositol,CP00000834,POLR2E,9606,associate
myo-inositol,CP00000834,XBP1,9606,associate
myo-inositol,CP00000834,TXN2,9606,associate
myo-inositol,CP00000834,ACO2,9606,associate
myo-inositol,CP00000834,RIPK3,9606,associate
myo-inositol,CP00000834,CTSG,9606,associate
myo-inositol,CP00000834,GZMH,9606,associate
myo-inositol,CP00000834,GZMB,9606,associate
myo-inositol,CP00000834,CTSZ,9606,associate
myo-inositol,CP00000834,PTK6,9606,associate
myo-inositol,CP00000834,SRMS,9606,associate
myo-inositol,CP00000834,TRIB3,9606,associate
myo-inositol,CP00000834,TXNL1,9606,associate
myo-inositol,CP00000834,GUCY2F,9606,associate
myo-inositol,CP00000834,F9,9606,associate
myo-inositol,CP00000834,BCORL1,9606,associate
myo-inositol,CP00000834,DHODH,9606,associate
