Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
neochlorogenic acid,CP04449973,HDAC10,9606,inhibit
neochlorogenic acid,CP04449973,SLC25A11,9606,associate
neochlorogenic acid,CP04449973,SLC11A1,9606,associate
neochlorogenic acid,CP04449973,HVCN1,9606,associate
neochlorogenic acid,CP04449973,PTGIS,9606,associate
neochlorogenic acid,CP04449973,GYS2,9606,associate
neochlorogenic acid,CP04449973,HAL,9606,associate
neochlorogenic acid,CP04449973,ALG1,9606,associate
neochlorogenic acid,CP04449973,MRPL3,9606,associate
neochlorogenic acid,CP04449973,MTTP,9606,associate
neochlorogenic acid,CP04449973,DIDO1,9606,associate
neochlorogenic acid,CP04449973,SORD,9606,associate
neochlorogenic acid,CP04449973,RPL3L,9606,associate
neochlorogenic acid,CP04449973,GAS8,9606,associate
neochlorogenic acid,CP04449973,PFKL,9606,associate
neochlorogenic acid,CP04449973,CYP7A1,9606,associate
neochlorogenic acid,CP04449973,RBKS,9606,associate
neochlorogenic acid,CP04449973,BPTF,9606,associate
neochlorogenic acid,CP04449973,CYP7B1,9606,associate
neochlorogenic acid,CP04449973,GYS1,9606,associate
neochlorogenic acid,CP04449973,CYP8B1,9606,associate
neochlorogenic acid,CP04449973,ACSF3,9606,associate
neochlorogenic acid,CP04449973,FGF1,9606,associate
neochlorogenic acid,CP04449973,HSPD1,9606,associate
neochlorogenic acid,CP04449973,DCAKD,9606,associate
neochlorogenic acid,CP04449973,SLC25A10,9606,associate
neochlorogenic acid,CP04449973,PFKM,9606,associate
neochlorogenic acid,CP04449973,RPL3,9606,associate
neochlorogenic acid,CP04449973,CGAS,9606,associate
neochlorogenic acid,CP04449973,ALDH18A1,9606,associate
neochlorogenic acid,CP04449973,TTC4,9606,associate
neochlorogenic acid,CP04449973,RPL7A,9606,associate
neochlorogenic acid,CP04449973,GPCPD1,9606,associate
neochlorogenic acid,CP04449973,PIGA,9606,associate
neochlorogenic acid,CP04449973,PFKP,9606,associate
neochlorogenic acid,CP04449973,SLC35B2,9606,associate
neochlorogenic acid,CP04449973,CFI,9606,associate
neochlorogenic acid,CP04449973,SLC11A2,9606,associate
neochlorogenic acid,CP04449973,CXXC1,9606,associate
neochlorogenic acid,CP04449973,ALG2,9606,associate
neochlorogenic acid,CP04449973,ALG11,9606,associate
neochlorogenic acid,CP04449973,RSL1D1,9606,associate
neochlorogenic acid,CP04449973,COASY,9606,associate
neochlorogenic acid,CP04449973,PTPN1,9606,inhibit
neochlorogenic acid,CP04449973,AKR1B10,9606,associate
neochlorogenic acid,CP04449973,AKR1B1,9606,associate
neochlorogenic acid,CP04449973,APP,9606,associate
neochlorogenic acid,CP04449973,MMP2,9606,associate
neochlorogenic acid,CP04449973,MMP13,9606,associate
neochlorogenic acid,CP04449973,MMP12,9606,associate
neochlorogenic acid,CP04449973,MMP9,9606,associate
neochlorogenic acid,CP04449973,MMP1,9606,associate
neochlorogenic acid,CP04449973,PRKCQ,9606,associate
neochlorogenic acid,CP04449973,MAOB,9606,associate
neochlorogenic acid,CP04449973,GCGR,9606,associate
neochlorogenic acid,CP04449973,CA5B,9606,associate
neochlorogenic acid,CP04449973,CA2,9606,associate
neochlorogenic acid,CP04449973,ESR1,9606,associate
neochlorogenic acid,CP04449973,CA9,9606,associate
neochlorogenic acid,CP04449973,MARK3,9606,associate
neochlorogenic acid,CP04449973,SELP,9606,associate
neochlorogenic acid,CP04449973,FUCA1,9606,associate
neochlorogenic acid,CP04449973,CHRM5,9606,associate
neochlorogenic acid,CP04449973,CA6,9606,associate
neochlorogenic acid,CP04449973,GBA,9606,associate
neochlorogenic acid,CP04449973,TAOK1,9606,associate
neochlorogenic acid,CP04449973,TBXA2R,9606,associate
neochlorogenic acid,CP04449973,TGFBR2,9606,associate
neochlorogenic acid,CP04449973,SLCO1B1,9606,associate
neochlorogenic acid,CP04449973,STK4,9606,associate
neochlorogenic acid,CP04449973,VCAM1,9606,associate
neochlorogenic acid,CP04449973,ADCY1,9606,associate
neochlorogenic acid,CP04449973,ADAMTS4,9606,associate
neochlorogenic acid,CP04449973,CFTR,9606,associate
neochlorogenic acid,CP04449973,CYP11B2,9606,associate
neochlorogenic acid,CP04449973,GGPS1,9606,associate
neochlorogenic acid,CP04449973,CACNA1B,9606,associate
neochlorogenic acid,CP04449973,FCER2,9606,associate
neochlorogenic acid,CP04449973,FOLR1,9606,associate
neochlorogenic acid,CP04449973,ALOX5AP,9606,associate
neochlorogenic acid,CP04449973,PDK2,9606,associate
neochlorogenic acid,CP04449973,PHOSPHO1,9606,associate
neochlorogenic acid,CP04449973,TMPRSS11D,9606,associate
neochlorogenic acid,CP04449973,TMPRSS6,9606,associate
neochlorogenic acid,CP04449973,PRKCE,9606,associate
neochlorogenic acid,CP04449973,ITGA4,9606,associate
neochlorogenic acid,CP04449973,SSTR3,9606,associate
neochlorogenic acid,CP04449973,STS,9606,associate
neochlorogenic acid,CP04449973,SSTR5,9606,associate
neochlorogenic acid,CP04449973,WNT3A,9606,associate
neochlorogenic acid,CP04449973,PDE1B,9606,associate
neochlorogenic acid,CP04449973,PLA2G4A,9606,associate
neochlorogenic acid,CP04449973,PLA2G2A,9606,associate
neochlorogenic acid,CP04449973,RELA,9606,associate
neochlorogenic acid,CP04449973,KIF11,9606,associate
neochlorogenic acid,CP04449973,SERPINE1,9606,associate
neochlorogenic acid,CP04449973,TXK,9606,associate
neochlorogenic acid,CP04449973,NAMPT,9606,associate
neochlorogenic acid,CP04449973,CDK8,9606,associate
neochlorogenic acid,CP04449973,NR1H4,9606,associate
neochlorogenic acid,CP04449973,CHRNA3,9606,associate
neochlorogenic acid,CP04449973,CYP51A1,9606,associate
neochlorogenic acid,CP04449973,PKN2,9606,associate
neochlorogenic acid,CP04449973,POLB,9606,associate
neochlorogenic acid,CP04449973,EP300,9606,associate
neochlorogenic acid,CP04449973,TPSAB1,9606,associate
neochlorogenic acid,CP04449973,PIP4K2B,9606,associate
neochlorogenic acid,CP04449973,DLG4,9606,associate
neochlorogenic acid,CP04449973,MIF,9606,associate
neochlorogenic acid,CP04449973,CD74,9606,associate
neochlorogenic acid,CP04449973,PRF1,9606,associate
neochlorogenic acid,CP04449973,KDM4C,9606,associate
neochlorogenic acid,CP04449973,HTR7,9606,associate
neochlorogenic acid,CP04449973,GSK3B,9606,associate
neochlorogenic acid,CP04449973,BMP4,9606,associate
neochlorogenic acid,CP04449973,NEK4,9606,associate
neochlorogenic acid,CP04449973,CA1,9606,associate
neochlorogenic acid,CP04449973,GALR1,9606,associate
neochlorogenic acid,CP04449973,AKT1,9606,associate
neochlorogenic acid,CP04449973,FES,9606,associate
neochlorogenic acid,CP04449973,KCNA5,9606,associate
neochlorogenic acid,CP04449973,LDHB,9606,associate
neochlorogenic acid,CP04449973,SCARB1,9606,associate
neochlorogenic acid,CP04449973,MLYCD,9606,associate
neochlorogenic acid,CP04449973,CDC42BPA,9606,associate
neochlorogenic acid,CP04449973,S1PR4,9606,associate
neochlorogenic acid,CP04449973,FPR1,9606,associate
neochlorogenic acid,CP04449973,CA7,9606,associate
neochlorogenic acid,CP04449973,HLA-A,9606,associate
neochlorogenic acid,CP04449973,P2RY14,9606,associate
neochlorogenic acid,CP04449973,TNFRSF1A,9606,associate
neochlorogenic acid,CP04449973,TAOK3,9606,associate
neochlorogenic acid,CP04449973,DCTPP1,9606,associate
neochlorogenic acid,CP04449973,RAD51,9606,associate
neochlorogenic acid,CP04449973,F10,9606,associate
neochlorogenic acid,CP04449973,PDGFRB,9606,associate
neochlorogenic acid,CP04449973,ITGAL,9606,associate
neochlorogenic acid,CP04449973,F9,9606,associate
neochlorogenic acid,CP04449973,TRPM8,9606,associate
neochlorogenic acid,CP04449973,THRB,9606,associate
neochlorogenic acid,CP04449973,WDR5,9606,associate
neochlorogenic acid,CP04449973,ALOX12,9606,associate
