Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
p-hydroxybenzaldehyde,CP00000121,ABAT,9606,inhibit
p-hydroxybenzaldehyde,CP00000121,ALDH5A1,9606,inhibit
p-hydroxybenzaldehyde,CP00000121,Abat,10116,inhibit
p-hydroxybenzaldehyde,CP00000121,AOX1,9986,inhibit
p-hydroxybenzaldehyde,CP00000121,IDO1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PPP5C,9606,associate
p-hydroxybenzaldehyde,CP00000121,OTC,9606,associate
p-hydroxybenzaldehyde,CP00000121,YTHDC2,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTPN18,9606,associate
p-hydroxybenzaldehyde,CP00000121,DIMT1,9606,associate
p-hydroxybenzaldehyde,CP00000121,AASDH,9606,associate
p-hydroxybenzaldehyde,CP00000121,FMO2,9606,associate
p-hydroxybenzaldehyde,CP00000121,FOXRED2,9606,associate
p-hydroxybenzaldehyde,CP00000121,MYBL2,9606,associate
p-hydroxybenzaldehyde,CP00000121,CLASRP,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX33,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH3A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH1A2,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX40,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX29,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX35,9606,associate
p-hydroxybenzaldehyde,CP00000121,FMO5,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTPRE,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH1L2,9606,associate
p-hydroxybenzaldehyde,CP00000121,HINT2,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH2,9606,associate
p-hydroxybenzaldehyde,CP00000121,PIK3C3,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX8,9606,associate
p-hydroxybenzaldehyde,CP00000121,PIK3CA,9606,associate
p-hydroxybenzaldehyde,CP00000121,PDCL3,9606,associate
p-hydroxybenzaldehyde,CP00000121,CPVL,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH8A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PIK3C2A,9606,associate
p-hydroxybenzaldehyde,CP00000121,RNF113B,9606,associate
p-hydroxybenzaldehyde,CP00000121,ABAT,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX38,9606,associate
p-hydroxybenzaldehyde,CP00000121,ACP1,9606,associate
p-hydroxybenzaldehyde,CP00000121,CALM2,9606,associate
p-hydroxybenzaldehyde,CP00000121,ARMC1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PPP4C,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTS,9606,associate
p-hydroxybenzaldehyde,CP00000121,SCN2A,9606,associate
p-hydroxybenzaldehyde,CP00000121,RPIA,9606,associate
p-hydroxybenzaldehyde,CP00000121,HGD,9606,associate
p-hydroxybenzaldehyde,CP00000121,TMPRSS11D,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX32,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTPDC1,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH4A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH16A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PDCL2,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH1A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,SNAPC4,9606,associate
p-hydroxybenzaldehyde,CP00000121,AGXT,9606,associate
p-hydroxybenzaldehyde,CP00000121,HINT1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PGK2,9606,associate
p-hydroxybenzaldehyde,CP00000121,BTD,9606,associate
p-hydroxybenzaldehyde,CP00000121,PDP2,9606,associate
p-hydroxybenzaldehyde,CP00000121,PSMA8,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX37,9606,associate
p-hydroxybenzaldehyde,CP00000121,PROP1,9606,associate
p-hydroxybenzaldehyde,CP00000121,PRKDC,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH5A1,9606,associate
p-hydroxybenzaldehyde,CP00000121,VNN2,9606,associate
p-hydroxybenzaldehyde,CP00000121,UPB1,9606,associate
p-hydroxybenzaldehyde,CP00000121,NADSYN1,9606,associate
p-hydroxybenzaldehyde,CP00000121,SMDT1,9606,associate
p-hydroxybenzaldehyde,CP00000121,UPP1,9606,associate
p-hydroxybenzaldehyde,CP00000121,HDDC3,9606,associate
p-hydroxybenzaldehyde,CP00000121,BOLA2,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTPRM,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX34,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH1A3,9606,associate
p-hydroxybenzaldehyde,CP00000121,PLPBP,9606,associate
p-hydroxybenzaldehyde,CP00000121,PTPRU,9606,associate
p-hydroxybenzaldehyde,CP00000121,CDKN3,9606,associate
p-hydroxybenzaldehyde,CP00000121,DHX15,9606,associate
p-hydroxybenzaldehyde,CP00000121,LRRFIP2,9606,associate
p-hydroxybenzaldehyde,CP00000121,MYB,9606,associate
p-hydroxybenzaldehyde,CP00000121,CS,9606,associate
p-hydroxybenzaldehyde,CP00000121,ATR,9606,associate
p-hydroxybenzaldehyde,CP00000121,ESR2,9606,associate
p-hydroxybenzaldehyde,CP00000121,ALDH3A2,9606,associate
p-hydroxybenzaldehyde,CP00000121,STYX,9606,associate
