Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
thymine,CP00001055,TYMP,9606,associate
thymine,CP00001055,TTHB102,300852,associate
thymine,CP00001055,Tymp,10090,inhibit
thymine,CP00001055,ATAD2,9606,associate
thymine,CP00001055,CFTR,9606,associate
thymine,CP00001055,PPP2R1A,9606,associate
thymine,CP00001055,ELP1,9606,associate
thymine,CP00001055,UPB1,9606,associate
thymine,CP00001055,ERCC6,9606,associate
thymine,CP00001055,SPTBN1,9606,associate
thymine,CP00001055,MUS81,9606,associate
thymine,CP00001055,SGPL1,9606,associate
thymine,CP00001055,TCEA1,9606,associate
thymine,CP00001055,NBAS,9606,associate
thymine,CP00001055,TET3,9606,associate
thymine,CP00001055,APAF1,9606,associate
thymine,CP00001055,MMP23B,9606,associate
thymine,CP00001055,LEP,9606,associate
thymine,CP00001055,PYGM,9606,associate
thymine,CP00001055,NOL9,9606,associate
thymine,CP00001055,DAP,9606,associate
thymine,CP00001055,DCK,9606,associate
thymine,CP00001055,TK1,9606,associate
thymine,CP00001055,ANOS1,9606,associate
thymine,CP00001055,OGDH,9606,associate
thymine,CP00001055,AGXT2,9606,associate
thymine,CP00001055,AMH,9606,associate
thymine,CP00001055,NAT1,9606,associate
thymine,CP00001055,STK36,9606,associate
thymine,CP00001055,DNM1,9606,associate
thymine,CP00001055,CARM1,9606,associate
thymine,CP00001055,DCX,9606,associate
thymine,CP00001055,ALKBH1,9606,associate
thymine,CP00001055,HAP1,9606,associate
thymine,CP00001055,CTH,9606,associate
thymine,CP00001055,DHODH,9606,associate
thymine,CP00001055,PYGB,9606,associate
thymine,CP00001055,MPG,9606,associate
thymine,CP00001055,NOL3,9606,associate
thymine,CP00001055,QDPR,9606,associate
thymine,CP00001055,RNASE1,9606,associate
thymine,CP00001055,RET,9606,associate
thymine,CP00001055,SLC35A3,9606,associate
thymine,CP00001055,SSRP1,9606,associate
thymine,CP00001055,MSTN,9606,associate
thymine,CP00001055,TPI1,9606,associate
thymine,CP00001055,DPYD,9606,associate
thymine,CP00001055,POLB,9606,associate
thymine,CP00001055,NT5M,9606,associate
thymine,CP00001055,CSNK1D,9606,associate
thymine,CP00001055,BUB1,9606,associate
thymine,CP00001055,RPL34,9606,associate
thymine,CP00001055,VPS25,9606,associate
thymine,CP00001055,ZPR1,9606,associate
thymine,CP00001055,PDHA2,9606,associate
thymine,CP00001055,POLR2C,9606,associate
thymine,CP00001055,RPL11,9606,associate
thymine,CP00001055,DDAH2,9606,associate
thymine,CP00001055,POLR2B,9606,associate
thymine,CP00001055,RAB8A,9606,associate
thymine,CP00001055,PPT1,9606,associate
thymine,CP00001055,EP300,9606,associate
thymine,CP00001055,NEIL1,9606,associate
thymine,CP00001055,DNMT3A,9606,associate
thymine,CP00001055,ERCC3,9606,associate
thymine,CP00001055,ARID1A,9606,associate
thymine,CP00001055,WT1,9606,associate
thymine,CP00001055,PAPD7,9606,associate
thymine,CP00001055,ZNF410,9606,associate
thymine,CP00001055,TNFSF10,9606,associate
thymine,CP00001055,DNMT3B,9606,associate
thymine,CP00001055,DPYS,9606,associate
thymine,CP00001055,PYGL,9606,associate
thymine,CP00001055,XPA,9606,associate
thymine,CP00001055,MSH2,9606,associate
thymine,CP00001055,ALDH6A1,9606,associate
thymine,CP00001055,OTC,9606,associate
thymine,CP00001055,DCTD,9606,associate
thymine,CP00001055,TFCP2,9606,associate
thymine,CP00001055,MUTYH,9606,associate
thymine,CP00001055,CTPS2,9606,associate
thymine,CP00001055,OGG1,9606,associate
thymine,CP00001055,AQP10,9606,associate
thymine,CP00001055,AGT,9606,associate
thymine,CP00001055,DHRS9,9606,associate
thymine,CP00001055,CCNH,9606,associate
thymine,CP00001055,HNMT,9606,associate
thymine,CP00001055,POLN,9606,associate
thymine,CP00001055,SGTB,9606,associate
thymine,CP00001055,POLA1,9606,associate
thymine,CP00001055,TRIM24,9606,associate
thymine,CP00001055,RRM1,9606,associate
thymine,CP00001055,SLC45A2,9606,associate
thymine,CP00001055,EME1,9606,associate
thymine,CP00001055,DTD1,9606,associate
thymine,CP00001055,RARB,9606,associate
thymine,CP00001055,SIRT1,9606,associate
thymine,CP00001055,ACKR1,9606,associate
thymine,CP00001055,CDC25C,9606,associate
thymine,CP00001055,DAG1,9606,associate
thymine,CP00001055,BCKDHB,9606,associate
thymine,CP00001055,RNASEL,9606,associate
thymine,CP00001055,DPYSL2,9606,associate
thymine,CP00001055,KIF1BP,9606,associate
thymine,CP00001055,DPYSL3,9606,associate
thymine,CP00001055,HGS,9606,associate
thymine,CP00001055,SUPT5H,9606,associate
thymine,CP00001055,PCNA,9606,associate
thymine,CP00001055,GINS4,9606,associate
thymine,CP00001055,CPA1,9606,associate
thymine,CP00001055,APOE,9606,associate
thymine,CP00001055,TSPO,9606,associate
thymine,CP00001055,HPRT1,9606,associate
thymine,CP00001055,TDG,9606,associate
thymine,CP00001055,SPO11,9606,associate
thymine,CP00001055,ASF1A,9606,associate
thymine,CP00001055,TWIST1,9606,associate
thymine,CP00001055,SHMT2,9606,associate
thymine,CP00001055,QRSL1,9606,associate
thymine,CP00001055,POLR2A,9606,associate
thymine,CP00001055,KAT7,9606,associate
thymine,CP00001055,MSH6,9606,associate
thymine,CP00001055,ZNF141,9606,associate
thymine,CP00001055,CACNA1E,9606,associate
thymine,CP00001055,ERCC4,9606,associate
thymine,CP00001055,MBD4,9606,associate
thymine,CP00001055,RAD18,9606,associate
thymine,CP00001055,SHMT1,9606,associate
thymine,CP00001055,SNF8,9606,associate
thymine,CP00001055,HMOX1,9606,associate
thymine,CP00001055,THBS1,9606,associate
thymine,CP00001055,CLP1,9606,associate
