Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
trans-aconitate,CP00000289,ACO2,9606,associate
trans-aconitate,CP00000289,OGDH,9606,associate
trans-aconitate,CP00000289,PSMA2,9606,associate
trans-aconitate,CP00000289,NUDT12,9606,associate
trans-aconitate,CP00000289,MRM2,9606,associate
trans-aconitate,CP00000289,GOT2,9606,associate
trans-aconitate,CP00000289,SDS,9606,associate
trans-aconitate,CP00000289,IREB2,9606,associate
trans-aconitate,CP00000289,METTL5,9606,associate
trans-aconitate,CP00000289,MTIF2,9606,associate
trans-aconitate,CP00000289,SDHA,9606,associate
trans-aconitate,CP00000289,SLC6A15,9606,associate
trans-aconitate,CP00000289,SLC25A31,9606,associate
trans-aconitate,CP00000289,SLC25A4,9606,associate
trans-aconitate,CP00000289,FANCC,9606,associate
trans-aconitate,CP00000289,EIF5B,9606,associate
trans-aconitate,CP00000289,MCAT,9606,associate
trans-aconitate,CP00000289,BTG2,9606,associate
trans-aconitate,CP00000289,PDHA2,9606,associate
trans-aconitate,CP00000289,SP7,9606,associate
trans-aconitate,CP00000289,SLC23A1,9606,associate
trans-aconitate,CP00000289,GOT1L1,9606,associate
trans-aconitate,CP00000289,RPL15,9606,associate
trans-aconitate,CP00000289,ACO1,9606,associate
trans-aconitate,CP00000289,SLCO4C1,9606,associate
trans-aconitate,CP00000289,METTL1,9606,associate
trans-aconitate,CP00000289,SHMT1,9606,associate
trans-aconitate,CP00000289,NR2C2,9606,associate
trans-aconitate,CP00000289,FTSJ1,9606,associate
trans-aconitate,CP00000289,MDH2,9606,associate
trans-aconitate,CP00000289,SLC6A17,9606,associate
trans-aconitate,CP00000289,SHMT2,9606,associate
trans-aconitate,CP00000289,SRR,9606,associate
trans-aconitate,CP00000289,HSPD1,9606,associate
trans-aconitate,CP00000289,SDSL,9606,associate
trans-aconitate,CP00000289,BSX,9606,associate
trans-aconitate,CP00000289,SLC23A2,9606,associate
trans-aconitate,CP00000289,DPAGT1,9606,associate
trans-aconitate,CP00000289,NUDT13,9606,associate
trans-aconitate,CP00000289,CCL20,9606,associate
trans-aconitate,CP00000289,FH,9606,associate
trans-aconitate,CP00000289,SLC50A1,9606,associate
trans-aconitate,CP00000289,AS3MT,9606,associate
trans-aconitate,CP00000289,HENMT1,9606,associate
trans-aconitate,CP00000289,GOT1,9606,associate
trans-aconitate,CP00000289,ALDH18A1,9606,associate
trans-aconitate,CP00000289,SLC25A5,9606,associate
trans-aconitate,CP00000289,GLO1,9606,associate
trans-aconitate,CP00000289,NFS1,9606,associate
trans-aconitate,CP00000289,PDHA1,9606,associate
trans-aconitate,CP00000289,SLC25A6,9606,associate
trans-aconitate,CP00000289,CSPG5,9606,associate
trans-aconitate,CP00000289,SP9,9606,associate
trans-aconitate,CP00000289,HDDC2,9606,associate
trans-aconitate,CP00000289,FTSJ3,9606,associate
trans-aconitate,CP00000289,SLC23A3,9606,associate
trans-aconitate,CP00000289,SP8,9606,associate
trans-aconitate,CP00000289,SDHAF3,9606,associate
trans-aconitate,CP00000289,ALG2,9606,associate
trans-aconitate,CP00000289,NUCB2,9606,associate
trans-aconitate,CP00000289,CA4,9606,associate
trans-aconitate,CP00000289,CA9,9606,associate
trans-aconitate,CP00000289,RXRA,9606,associate
trans-aconitate,CP00000289,CA12,9606,associate
trans-aconitate,CP00000289,CA1,9606,associate
trans-aconitate,CP00000289,KDM4E,9606,associate
trans-aconitate,CP00000289,RXRB,9606,associate
trans-aconitate,CP00000289,KDM6B,9606,associate
trans-aconitate,CP00000289,CA2,9606,associate
trans-aconitate,CP00000289,PPARD,9606,associate
trans-aconitate,CP00000289,EGLN1,9606,associate
trans-aconitate,CP00000289,HCAR2,9606,associate
