Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
uracil,CP00001093,PNP,9606,associate
uracil,CP00001093,TYMP,9606,associate
uracil,CP00001093,UPP1,9606,associate
uracil,CP00001093,UPP2,9606,associate
uracil,CP00001093,UCKL1,9606,associate
uracil,CP00001093,UPRT,9606,associate
uracil,CP00001093,rsuA,511145,associate
uracil,CP00001093,GMNN,9606,associate
uracil,CP00001093,TARDBP,9606,associate
uracil,CP00001093,UL2,10298,associate
uracil,CP00001093,DPYD,9606,associate
uracil,CP00001093,NFU1,9606,associate
uracil,CP00001093,CRY1,9606,associate
uracil,CP00001093,XRCC1,9606,associate
uracil,CP00001093,KCNJ8,9606,associate
uracil,CP00001093,NLRP8,9606,associate
uracil,CP00001093,RNF103-CHMP3,9606,associate
uracil,CP00001093,ALKBH1,9606,associate
uracil,CP00001093,SHMT1,9606,associate
uracil,CP00001093,MPG,9606,associate
uracil,CP00001093,UCK2,9606,associate
uracil,CP00001093,CHMP4B,9606,associate
uracil,CP00001093,AICDA,9606,associate
uracil,CP00001093,NEIL1,9606,associate
uracil,CP00001093,MSH3,9606,associate
uracil,CP00001093,NBN,9606,associate
uracil,CP00001093,LDHB,9606,associate
uracil,CP00001093,CTSE,9606,associate
uracil,CP00001093,APOBEC2,9606,associate
uracil,CP00001093,CHMP6,9606,associate
uracil,CP00001093,HPRT1,9606,associate
uracil,CP00001093,PDE4A,9606,associate
uracil,CP00001093,CTPS2,9606,associate
uracil,CP00001093,ALKBH2,9606,associate
uracil,CP00001093,SLC23A2,9606,associate
uracil,CP00001093,PYGB,9606,associate
uracil,CP00001093,HAUS1,9606,associate
uracil,CP00001093,APOBEC3C,9606,associate
uracil,CP00001093,SIRT2,9606,associate
uracil,CP00001093,UPB1,9606,associate
uracil,CP00001093,DNMT1,9606,associate
uracil,CP00001093,ASS1,9606,associate
uracil,CP00001093,E2F1,9606,associate
uracil,CP00001093,DHFR,9606,associate
uracil,CP00001093,GAPDHS,9606,associate
uracil,CP00001093,CYSLTR2,9606,associate
uracil,CP00001093,CPS1,9606,associate
uracil,CP00001093,GPR17,9606,associate
uracil,CP00001093,APRT,9606,associate
uracil,CP00001093,SKP1,9606,associate
uracil,CP00001093,NR1H2,9606,associate
uracil,CP00001093,DNMT3B,9606,associate
uracil,CP00001093,P2RY11,9606,associate
uracil,CP00001093,P2RY12,9606,associate
uracil,CP00001093,ALG2,9606,associate
uracil,CP00001093,TNFSF10,9606,associate
uracil,CP00001093,DCX,9606,associate
uracil,CP00001093,GNRHR,9606,associate
uracil,CP00001093,P2RY6,9606,associate
uracil,CP00001093,POLB,9606,associate
uracil,CP00001093,SIRT1,9606,associate
uracil,CP00001093,NUDT1,9606,associate
uracil,CP00001093,MBD4,9606,associate
uracil,CP00001093,OCM,9606,associate
uracil,CP00001093,RNASEL,9606,associate
uracil,CP00001093,UCK1,9606,associate
uracil,CP00001093,ESM1,9606,associate
uracil,CP00001093,SNF8,9606,associate
uracil,CP00001093,APOBEC1,9606,associate
uracil,CP00001093,RPA4,9606,associate
uracil,CP00001093,CCNO,9606,associate
uracil,CP00001093,SYNE1,9606,associate
uracil,CP00001093,TOX2,9606,associate
uracil,CP00001093,REV3L,9606,associate
uracil,CP00001093,AS3MT,9606,associate
uracil,CP00001093,CTH,9606,associate
uracil,CP00001093,VPS25,9606,associate
uracil,CP00001093,RRM2B,9606,associate
uracil,CP00001093,APC,9606,associate
uracil,CP00001093,NLRP9,9606,associate
uracil,CP00001093,RAD51,9606,associate
uracil,CP00001093,FTHL17,9606,associate
uracil,CP00001093,LIG4,9606,associate
uracil,CP00001093,TUT1,9606,associate
uracil,CP00001093,MSH6,9606,associate
uracil,CP00001093,MTR,9606,associate
uracil,CP00001093,UGP2,9606,associate
uracil,CP00001093,CHMP2A,9606,associate
uracil,CP00001093,ALDH18A1,9606,associate
uracil,CP00001093,RAD50,9606,associate
uracil,CP00001093,RRP1,9606,associate
uracil,CP00001093,FCN3,9606,associate
uracil,CP00001093,PPAT,9606,associate
uracil,CP00001093,RAB8A,9606,associate
uracil,CP00001093,DTYMK,9606,associate
uracil,CP00001093,UBE2I,9606,associate
uracil,CP00001093,SLC38A5,9606,associate
uracil,CP00001093,MUT,9606,associate
uracil,CP00001093,MTHFR,9606,associate
uracil,CP00001093,RAD18,9606,associate
uracil,CP00001093,NTHL1,9606,associate
uracil,CP00001093,HAP1,9606,associate
uracil,CP00001093,SCARA3,9606,associate
uracil,CP00001093,EP300,9606,associate
uracil,CP00001093,USE1,9606,associate
uracil,CP00001093,RPS3,9606,associate
uracil,CP00001093,SMUG1,9606,associate
uracil,CP00001093,ODC1,9606,associate
uracil,CP00001093,PAICS,9606,associate
uracil,CP00001093,MSH2,9606,associate
uracil,CP00001093,CAD,9606,associate
uracil,CP00001093,CRYZ,9606,associate
uracil,CP00001093,URM1,9606,associate
uracil,CP00001093,RECQL,9606,associate
uracil,CP00001093,APEX1,9606,associate
uracil,CP00001093,QRSL1,9606,associate
uracil,CP00001093,ATM,9606,associate
uracil,CP00001093,ITGA2,9606,associate
uracil,CP00001093,PSMA6,9606,associate
uracil,CP00001093,TATDN1,9606,associate
uracil,CP00001093,RBKS,9606,associate
uracil,CP00001093,P2RY4,9606,associate
uracil,CP00001093,TDG,9606,associate
uracil,CP00001093,POLI,9606,associate
uracil,CP00001093,CADM1,9606,associate
uracil,CP00001093,CTU2,9606,associate
uracil,CP00001093,TRUB1,9606,associate
uracil,CP00001093,COMMD3,9606,associate
uracil,CP00001093,SYS1,9606,associate
uracil,CP00001093,RPA2,9606,associate
uracil,CP00001093,CD40LG,9606,associate
uracil,CP00001093,YRDC,9606,associate
uracil,CP00001093,PARP1,9606,associate
uracil,CP00001093,PAX5,9606,associate
uracil,CP00001093,DUT,9606,associate
uracil,CP00001093,BLM,9606,associate
uracil,CP00001093,SPO11,9606,associate
uracil,CP00001093,OTC,9606,associate
uracil,CP00001093,TAOK2,9606,associate
uracil,CP00001093,METTL3,9606,associate
uracil,CP00001093,NPY5R,9606,associate
uracil,CP00001093,CTU1,9606,associate
uracil,CP00001093,SLC45A4,9606,associate
uracil,CP00001093,DKC1,9606,associate
uracil,CP00001093,CTPS1,9606,associate
uracil,CP00001093,UNG,9606,associate
uracil,CP00001093,PUS7L,9606,associate
uracil,CP00001093,LIG1,9606,associate
uracil,CP00001093,CDKL2,9606,associate
uracil,CP00001093,APOBEC4,9606,associate
uracil,CP00001093,SLC29A4,9606,associate
uracil,CP00001093,CCAR1,9606,associate
uracil,CP00001093,POLH,9606,associate
uracil,CP00001093,DPYSL2,9606,associate
uracil,CP00001093,CRH,9606,associate
uracil,CP00001093,PAX2,9606,associate
uracil,CP00001093,OGG1,9606,associate
uracil,CP00001093,STK36,9606,associate
uracil,CP00001093,CDA,9606,associate
uracil,CP00001093,FEN1,9606,associate
uracil,CP00001093,PES1,9606,associate
uracil,CP00001093,SLC3A1,9606,associate
uracil,CP00001093,SLC23A1,9606,associate
uracil,CP00001093,SUCLG1,9606,associate
uracil,CP00001093,UMPS,9606,associate
uracil,CP00001093,LSS,9606,associate
uracil,CP00001093,PUSL1,9606,associate
uracil,CP00001093,DECR1,9606,associate
uracil,CP00001093,ASL,9606,associate
uracil,CP00001093,RFC1,9606,associate
uracil,CP00001093,SLC29A2,9606,associate
uracil,CP00001093,RPA1,9606,associate
uracil,CP00001093,ACAA1,9606,associate
uracil,CP00001093,P2RY2,9606,associate
uracil,CP00001093,MLH1,9606,associate
uracil,CP00001093,APOBEC3F,9606,associate
uracil,CP00001093,CPA1,9606,associate
uracil,CP00001093,MUS81,9606,associate
uracil,CP00001093,POLQ,9606,associate
uracil,CP00001093,LMNB1,9606,associate
uracil,CP00001093,SUMO1,9606,associate
uracil,CP00001093,CDH3,9606,associate
uracil,CP00001093,BRCA1,9606,associate
uracil,CP00001093,APEX2,9606,associate
uracil,CP00001093,REXO2,9606,associate
uracil,CP00001093,VPS28,9606,associate
uracil,CP00001093,SNTG1,9606,associate
uracil,CP00001093,MLF2,9606,associate
uracil,CP00001093,RNASEH2A,9606,associate
uracil,CP00001093,MAN2C1,9606,associate
uracil,CP00001093,POMT1,9606,associate
uracil,CP00001093,WRN,9606,associate
uracil,CP00001093,SLC29A1,9606,associate
uracil,CP00001093,RNASE1,9606,associate
uracil,CP00001093,GTF2B,9606,associate
uracil,CP00001093,DDX21,9606,associate
uracil,CP00001093,CHEK1,9606,associate
uracil,CP00001093,DCK,9606,associate
uracil,CP00001093,POLD1,9606,associate
uracil,CP00001093,DPYS,9606,associate
uracil,CP00001093,POLM,9606,associate
uracil,CP00001093,RNF19B,9606,associate
uracil,CP00001093,GTF2IRD1,9606,associate
uracil,CP00001093,PYGL,9606,associate
uracil,CP00001093,APOBEC3A_B,9606,associate
uracil,CP00001093,TK1,9606,associate
uracil,CP00001093,NT5M,9606,associate
uracil,CP00001093,REV1,9606,associate
uracil,CP00001093,PUS3,9606,associate
uracil,CP00001093,CRP,9606,associate
uracil,CP00001093,TFDP1,9606,associate
uracil,CP00001093,ALKBH3,9606,associate
uracil,CP00001093,KIF22,9606,associate
uracil,CP00001093,DNMT3A,9606,associate
uracil,CP00001093,P2RY1,9606,associate
uracil,CP00001093,NEIL2,9606,associate
uracil,CP00001093,ANG,9606,associate
uracil,CP00001093,APOBEC3G,9606,associate
uracil,CP00001093,H2AFX,9606,associate
uracil,CP00001093,MRE11,9606,associate
uracil,CP00001093,TYMS,9606,associate
uracil,CP00001093,P2RY14,9606,associate
uracil,CP00001093,UCN2,9606,associate
uracil,CP00001093,ERCC2,9606,associate
uracil,CP00001093,EME1,9606,associate
uracil,CP00001093,PRNP,9606,associate
uracil,CP00001093,AMH,9606,associate
uracil,CP00001093,GAPDH,9606,associate
uracil,CP00001093,MECP2,9606,associate
uracil,CP00001093,TK2,9606,associate
uracil,CP00001093,SLURP1,9606,associate
uracil,CP00001093,ASF1A,9606,associate
uracil,CP00001093,REL,9606,associate
uracil,CP00001093,ADAD1,9606,associate
uracil,CP00001093,ENDOV,9606,associate
uracil,CP00001093,DPYSL3,9606,associate
uracil,CP00001093,PYGM,9606,associate
uracil,CP00001093,DHODH,9606,associate
uracil,CP00001093,SLC28A3,9606,associate
uracil,CP00001093,DPYD,9606,activate
uracil,CP00001093,NT5C,9606,associate
uracil,CP00001093,PCNA,9606,associate
uracil,CP00001093,RNASE4,9606,associate
uracil,CP00001093,MTHFD1,9606,associate
uracil,CP00001093,LIG3,9606,associate
uracil,CP00001093,NEDD4L,9606,associate
uracil,CP00001093,TP53,9606,associate
uracil,CP00001093,RRM1,9606,associate
uracil,CP00001093,DNASE1L3,9606,associate
uracil,CP00001093,CYSLTR1,9606,associate
uracil,CP00001093,NME2,9606,associate
uracil,CP00001093,POLG,9606,associate
uracil,CP00001093,ZNF362,9606,associate
uracil,CP00001093,DNASE2B,9606,associate
uracil,CP00001093,SLC29A3,9606,associate
uracil,CP00001093,RPUSD1,9606,associate
uracil,CP00001093,NDUFAB1,9606,associate
uracil,CP00001093,PIGB,9606,associate
uracil,CP00001093,HSD17B10,9606,associate
uracil,CP00001093,FGF4,9606,associate
uracil,CP00001093,TNS1,9606,associate
uracil,CP00001093,SLC22A4,9606,associate
uracil,CP00001093,AASDH,9606,associate
uracil,CP00001093,ADH1A,9606,associate
uracil,CP00001093,ATP5F1D,9606,associate
uracil,CP00001093,POLR2E,9606,associate
uracil,CP00001093,RBX1,9606,associate
uracil,CP00001093,SRP54,9606,associate
uracil,CP00001093,ABCD1,9606,associate
uracil,CP00001093,POLR2C,9606,associate
uracil,CP00001093,ARHGDIG,9606,associate
uracil,CP00001093,STXBP2,9606,associate
uracil,CP00001093,DHDH,9606,associate
uracil,CP00001093,SLC1A6,9606,associate
uracil,CP00001093,CLC,9606,associate
uracil,CP00001093,TBCB,9606,associate
uracil,CP00001093,YKT6,9606,associate
uracil,CP00001093,EDF1,9606,associate
uracil,CP00001093,ACTA2,9606,associate
uracil,CP00001093,GALK1,9606,associate
uracil,CP00001093,FGF6,9606,associate
uracil,CP00001093,ARHGDIB,9606,associate
uracil,CP00001093,FBXL4,9606,associate
uracil,CP00001093,HARS2,9606,associate
uracil,CP00001093,PAPD7,9606,associate
uracil,CP00001093,IRX4,9606,associate
uracil,CP00001093,IL4,9606,associate
uracil,CP00001093,BCL6,9606,associate
uracil,CP00001093,APOB,9606,associate
uracil,CP00001093,SLC30A3,9606,associate
uracil,CP00001093,WNT6,9606,associate
uracil,CP00001093,SLC1A4,9606,associate
uracil,CP00001093,SARS,9606,associate
uracil,CP00001093,CTSD,9606,associate
uracil,CP00001093,ATIC,9606,associate
uracil,CP00001093,ADAT2,9606,associate
uracil,CP00001093,GDA,9606,associate
uracil,CP00001093,CAT,9606,associate
uracil,CP00001093,POLK,9606,associate
uracil,CP00001093,TWIST1,9606,associate
uracil,CP00001093,ORMDL2,9606,associate
uracil,CP00001093,SNRPA,9606,associate
uracil,CP00001093,PIWIL1,9606,associate
uracil,CP00001093,SLC22A5,9606,associate
uracil,CP00001093,SOX9,9606,associate
uracil,CP00001093,SYMPK,9606,associate
uracil,CP00001093,SBDS,9606,associate
uracil,CP00001093,WNK4,9606,associate
uracil,CP00001093,EPS15L1,9606,associate
uracil,CP00001093,TUBA4A,9606,associate
uracil,CP00001093,APOBEC3A,9606,associate
uracil,CP00001093,HOXD9,9606,associate
uracil,CP00001093,QTRT1,9606,associate
uracil,CP00001093,ANGEL1,9606,associate
uracil,CP00001093,MED17,9606,associate
uracil,CP00001093,TSG101,9606,associate
uracil,CP00001093,RPL36,9606,associate
uracil,CP00001093,MAS1,9606,associate
uracil,CP00001093,HIP1R,9606,associate
uracil,CP00001093,NAPSA,9606,associate
uracil,CP00001093,ACLY,9606,associate
uracil,CP00001093,RHPN2,9606,associate
uracil,CP00001093,EEFSEC,9606,associate
uracil,CP00001093,H3F3B,9606,associate
uracil,CP00001093,RIDA,9606,associate
uracil,CP00001093,NMUR2,9606,associate
uracil,CP00001093,SORT1,9606,associate
uracil,CP00001093,CMPK2,9606,associate
uracil,CP00001093,COX5B,9606,associate
uracil,CP00001093,TMEM63B,9606,associate
uracil,CP00001093,DBR1,9606,associate
uracil,CP00001093,BFAR,9606,associate
uracil,CP00001093,ANAPC5,9606,associate
uracil,CP00001093,SLC30A4,9606,associate
uracil,CP00001093,CNOT6,9606,associate
uracil,CP00001093,SMARCD3,9606,associate
uracil,CP00001093,SCPEP1,9606,associate
uracil,CP00001093,ELOB,9606,associate
uracil,CP00001093,SLC1A1,9606,associate
uracil,CP00001093,DHX8,9606,associate
uracil,CP00001093,UPF1,9606,associate
uracil,CP00001093,ELL,9606,associate
uracil,CP00001093,PRKX,9606,associate
uracil,CP00001093,SRBD1,9606,associate
uracil,CP00001093,DNAJC10,9606,associate
uracil,CP00001093,AGPS,9606,associate
uracil,CP00001093,PRKG2,9606,associate
uracil,CP00001093,PSMD3,9606,associate
uracil,CP00001093,SLC1A3,9606,associate
uracil,CP00001093,EGF,9606,associate
uracil,CP00001093,UBE2B,9606,associate
uracil,CP00001093,CPVL,9606,associate
uracil,CP00001093,PTPN23,9606,associate
uracil,CP00001093,PRKAR2A,9606,associate
uracil,CP00001093,MCCC1,9606,associate
uracil,CP00001093,PRKAR2B,9606,associate
uracil,CP00001093,PMS2,9606,associate
uracil,CP00001093,RB1,9606,associate
uracil,CP00001093,PIF1,9606,associate
uracil,CP00001093,ABAT,9606,associate
uracil,CP00001093,EPN3,9606,associate
uracil,CP00001093,ARHGDIA,9606,associate
uracil,CP00001093,AKT1,9606,associate
uracil,CP00001093,LBR,9606,associate
uracil,CP00001093,REN,9606,associate
uracil,CP00001093,GALM,9606,associate
uracil,CP00001093,RPS27A,9606,associate
uracil,CP00001093,CRHBP,9606,associate
uracil,CP00001093,SLC22A3,9606,associate
uracil,CP00001093,CCT6A,9606,associate
uracil,CP00001093,UPF3B,9606,associate
uracil,CP00001093,HSD17B12,9606,associate
uracil,CP00001093,SLC1A2,9606,associate
uracil,CP00001093,SSRP1,9606,associate
uracil,CP00001093,TM7SF2,9606,associate
uracil,CP00001093,NOCT,9606,associate
uracil,CP00001093,LDHAL6A,9606,associate
uracil,CP00001093,SLC25A4,9606,associate
uracil,CP00001093,HGD,9606,associate
uracil,CP00001093,TMPRSS11D,9606,associate
uracil,CP00001093,ELOC,9606,associate
uracil,CP00001093,CA2,9606,associate
uracil,CP00001093,UQCRB,9606,associate
uracil,CP00001093,PRKAG2,9606,associate
uracil,CP00001093,DPYSL5,9606,associate
uracil,CP00001093,RHPN1,9606,associate
uracil,CP00001093,ACTR1B,9606,associate
uracil,CP00001093,ATP5PO,9606,associate
uracil,CP00001093,ACTC1,9606,associate
uracil,CP00001093,IRX6,9606,associate
uracil,CP00001093,PKNOX1,9606,associate
uracil,CP00001093,RNF126,9606,associate
uracil,CP00001093,DCD,9606,associate
uracil,CP00001093,ACTG2,9606,associate
uracil,CP00001093,ALPPL2,9606,associate
uracil,CP00001093,MRPS18C,9606,associate
uracil,CP00001093,EOGT,9606,associate
