Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
vanillin,CP00001101,TDP1,9606,associate
vanillin,CP00001101,ALDH1A1,9606,associate
vanillin,CP00001101,HPGD,9606,associate
vanillin,CP00001101,Ar,10116,inhibit
vanillin,CP00001101,ALDH5A1,9606,inhibit
vanillin,CP00001101,ABAT,9606,inhibit
vanillin,CP00001101,HTR7,9606,associate
vanillin,CP00001101,FAAH,9606,associate
vanillin,CP00001101,RXRA,9606,associate
vanillin,CP00001101,AR,9606,associate
vanillin,CP00001101,NR1H4,9606,associate
vanillin,CP00001101,UGT1A10,9606,associate
vanillin,CP00001101,UGT1A6,9606,associate
vanillin,CP00001101,UGT1A7,9606,associate
vanillin,CP00001101,UGT1A9,9606,associate
vanillin,CP00001101,LARP6,9606,inhibit
vanillin,CP00001101,NFE2L2,9606,associate
vanillin,CP00001101,GLS,9606,associate
vanillin,CP00001101,PRKDC,9606,inhibit
vanillin,CP00001101,MdRdl,7370,associate
vanillin,CP00001101,NFKB1,9606,associate
vanillin,CP00001101,LOC101971467,43179,inhibit
vanillin,CP00001101,AFMID,9606,associate
vanillin,CP00001101,CD4,9606,associate
vanillin,CP00001101,GABARAPL2,9606,associate
vanillin,CP00001101,HMOX1,9606,associate
vanillin,CP00001101,SRP54,9606,associate
vanillin,CP00001101,PABPC1L,9606,associate
vanillin,CP00001101,MMP15,9606,associate
vanillin,CP00001101,DHDH,9606,associate
vanillin,CP00001101,BUD31,9606,associate
vanillin,CP00001101,IFNG,9606,associate
vanillin,CP00001101,SLC9A2,9606,associate
vanillin,CP00001101,CAT,9606,associate
vanillin,CP00001101,SLC35C2,9606,associate
vanillin,CP00001101,MT2A,9606,associate
vanillin,CP00001101,JUND,9606,associate
vanillin,CP00001101,SLC35D2,9606,associate
vanillin,CP00001101,EPC2,9606,associate
vanillin,CP00001101,KYAT3,9606,associate
vanillin,CP00001101,PREPL,9606,associate
vanillin,CP00001101,FAH,9606,associate
vanillin,CP00001101,RAB11A,9606,associate
vanillin,CP00001101,MARK4,9606,associate
vanillin,CP00001101,MAP2K2,9606,associate
vanillin,CP00001101,EPC1,9606,associate
vanillin,CP00001101,TYR,9606,associate
vanillin,CP00001101,SLC9A1,9606,associate
vanillin,CP00001101,TREH,9606,associate
vanillin,CP00001101,NOA1,9606,associate
vanillin,CP00001101,SLC9A3,9606,associate
vanillin,CP00001101,HPX,9606,associate
vanillin,CP00001101,GABARAPL1,9606,associate
vanillin,CP00001101,RNF113B,9606,associate
vanillin,CP00001101,TP53,9606,associate
vanillin,CP00001101,TIMM44,9606,associate
vanillin,CP00001101,GALM,9606,associate
vanillin,CP00001101,CNGA3,9606,associate
vanillin,CP00001101,SRD5A1,9606,associate
vanillin,CP00001101,GLUD1,9606,associate
vanillin,CP00001101,DUSP6,9606,associate
vanillin,CP00001101,SLC7A11,9606,associate
vanillin,CP00001101,SLC2A13,9606,associate
vanillin,CP00001101,PABPC3,9606,associate
vanillin,CP00001101,CD8A,9606,associate
vanillin,CP00001101,TMPRSS11D,9606,associate
vanillin,CP00001101,CA2,9606,associate
vanillin,CP00001101,BATF,9606,associate
vanillin,CP00001101,PRKAG2,9606,associate
vanillin,CP00001101,SLAMF8,9606,associate
vanillin,CP00001101,SLC9A4,9606,associate
vanillin,CP00001101,GLB1L,9606,associate
vanillin,CP00001101,SLC9B1,9606,associate
vanillin,CP00001101,SLC9A5,9606,associate
vanillin,CP00001101,ASRGL1,9606,associate
vanillin,CP00001101,KYAT1,9606,associate
vanillin,CP00001101,GUSB,9606,associate
vanillin,CP00001101,PGK2,9606,associate
vanillin,CP00001101,KCNK3,9606,associate
vanillin,CP00001101,UQCRFS1,9606,associate
vanillin,CP00001101,CXCL8,9606,associate
vanillin,CP00001101,SLC9C1,9606,associate
vanillin,CP00001101,GABARAP,9606,associate
vanillin,CP00001101,GLB1,9606,associate
vanillin,CP00001101,DDIT4,9606,associate
vanillin,CP00001101,GLUL,9606,associate
vanillin,CP00001101,PABPC5,9606,associate
vanillin,CP00001101,MMP14,9606,associate
vanillin,CP00001101,AIFM2,9606,associate
vanillin,CP00001101,PABPC1,9606,associate
vanillin,CP00001101,OR3A1,9606,associate
vanillin,CP00001101,MYEF2,9606,associate
vanillin,CP00001101,PIPOX,9606,associate
vanillin,CP00001101,SLC9A9,9606,associate
vanillin,CP00001101,IMPDH2,9606,associate
vanillin,CP00001101,SEC24C,9606,associate
vanillin,CP00001101,PRKAG1,9606,associate
vanillin,CP00001101,FZD2,9606,associate
vanillin,CP00001101,PMAIP1,9606,associate
vanillin,CP00001101,GLUD2,9606,associate
vanillin,CP00001101,CNGA2,9606,associate
vanillin,CP00001101,DNMT3B,9606,associate
vanillin,CP00001101,SLC9A7,9606,associate
vanillin,CP00001101,RAB11B,9606,associate
vanillin,CP00001101,OR10J5,9606,associate
vanillin,CP00001101,MMP25,9606,associate
vanillin,CP00001101,TASP1,9606,associate
vanillin,CP00001101,UGP2,9606,associate
vanillin,CP00001101,TRIM16,9606,associate
vanillin,CP00001101,CLYBL,9606,associate
vanillin,CP00001101,CBS,9606,associate
vanillin,CP00001101,GLB1L2,9606,associate
vanillin,CP00001101,INSIG1,9606,associate
vanillin,CP00001101,IMPDH1,9606,associate
vanillin,CP00001101,SEC31A,9606,associate
vanillin,CP00001101,MMP17,9606,associate
vanillin,CP00001101,SLC9B2,9606,associate
vanillin,CP00001101,ATP6,9606,associate
vanillin,CP00001101,CLK2,9606,associate
vanillin,CP00001101,SLC9A8,9606,associate
vanillin,CP00001101,SOD2,9606,associate
vanillin,CP00001101,SLC9C2,9606,associate
vanillin,CP00001101,CTGF,9606,associate
vanillin,CP00001101,CD244,9606,associate
vanillin,CP00001101,MFSD14A,9606,associate
vanillin,CP00001101,GCLM,9606,associate
vanillin,CP00001101,LGSN,9606,associate
vanillin,CP00001101,SLC9A6,9606,associate
vanillin,CP00001101,RNF113A,9606,associate
vanillin,CP00001101,DPM1,9606,associate
vanillin,CP00001101,PMPCA,9606,associate
vanillin,CP00001101,SLC2A6,9606,associate
vanillin,CP00001101,MMP9,9606,associate
vanillin,CP00001101,PABPC4,9606,associate
vanillin,CP00001101,PGK1,9606,associate
vanillin,CP00001101,SLC2A8,9606,associate
vanillin,CP00001101,UGT1A5,9606,associate
vanillin,CP00001101,UGT1A8,9606,associate
vanillin,CP00001101,PABPC1L2A,9606,associate
vanillin,CP00001101,PABPC1L2B,9606,associate
vanillin,CP00001101,TXN,9606,associate
vanillin,CP00001101,MFSD14B,9606,associate
vanillin,CP00001101,HSPA1B,9606,associate
vanillin,CP00001101,THNSL1,9606,associate
vanillin,CP00001101,PPP1R10,9606,associate
vanillin,CP00001101,UBIAD1,9606,associate
vanillin,CP00001101,EXOSC10,9606,associate
vanillin,CP00001101,CYP1A1,9606,associate
vanillin,CP00001101,IL2RA,9606,associate
vanillin,CP00001101,AKR1C2,9606,associate
vanillin,CP00001101,SLC46A3,9606,associate
vanillin,CP00001101,BCL2L11,9606,associate
vanillin,CP00001101,TGFB1I1,9606,associate
vanillin,CP00001101,OR51E2,9606,associate
vanillin,CP00001101,GLB1L3,9606,associate
vanillin,CP00001101,FGFR2,9606,associate
vanillin,CP00001101,PPM1L,9606,associate
vanillin,CP00001101,UGT1A3,9606,associate
vanillin,CP00001101,TRPV3,9606,associate
vanillin,CP00001101,HTR7,9606,inhibit
vanillin,CP00001101,FAAH,9606,inhibit
vanillin,CP00001101,PNLIP,9823,inhibit
vanillin,CP00001101,UGT2A1,9606,associate
vanillin,CP00001101,CACNA1C,9606,inhibit
vanillin,CP00001101,MPO,9606,inhibit
vanillin,CP00001101,ACE,9606,inhibit
vanillin,CP00001101,HBB,9606,associate
vanillin,CP00001101,ALOX5,9606,associate
vanillin,CP00001101,TTR,9606,associate
vanillin,CP00001101,CA12,9606,associate
vanillin,CP00001101,ERN1,9606,associate
vanillin,CP00001101,CA7,9606,associate
vanillin,CP00001101,APP,9606,associate
vanillin,CP00001101,CA9,9606,associate
vanillin,CP00001101,CA6,9606,associate
vanillin,CP00001101,ALOX15,9606,associate
vanillin,CP00001101,CA1,9606,associate
vanillin,CP00001101,PTGS1,9606,associate
vanillin,CP00001101,MAOA,9606,associate
vanillin,CP00001101,CA5A,9606,associate
vanillin,CP00001101,CA5B,9606,associate
vanillin,CP00001101,CA14,9606,associate
vanillin,CP00001101,EGFR,9606,associate
vanillin,CP00001101,EP300,9606,associate
vanillin,CP00001101,ALOX12,9606,associate
vanillin,CP00001101,TLR9,9606,associate
vanillin,CP00001101,MCL1,9606,associate
vanillin,CP00001101,MAOB,9606,associate
vanillin,CP00001101,ALPI,9606,associate
vanillin,CP00001101,GLO1,9606,associate
vanillin,CP00001101,TRPV1,9606,associate
vanillin,CP00001101,NQO2,9606,associate
vanillin,CP00001101,CYP1A2,9606,associate
vanillin,CP00001101,XBP1,9606,associate
vanillin,CP00001101,CA13,9606,associate
vanillin,CP00001101,CYP2D6,9606,associate
vanillin,CP00001101,DYRK1A,9606,associate
vanillin,CP00001101,HSD11B1,9606,associate
vanillin,CP00001101,ACHE,9606,associate
vanillin,CP00001101,CYP2A6,9606,associate
vanillin,CP00001101,CA4,9606,associate
vanillin,CP00001101,CAMK2A,9606,associate
vanillin,CP00001101,MIF,9606,associate
vanillin,CP00001101,DYRK4,9606,associate
vanillin,CP00001101,CA3,9606,associate
vanillin,CP00001101,DUSP3,9606,associate
vanillin,CP00001101,ESR2,9606,associate
vanillin,CP00001101,PTGS2,9606,associate
vanillin,CP00001101,SHBG,9606,associate
vanillin,CP00001101,CDK1,9606,associate
vanillin,CP00001101,DNMT1,9606,associate
vanillin,CP00001101,STAT3,9606,associate
vanillin,CP00001101,RELA,9606,associate
vanillin,CP00001101,PRKCQ,9606,associate
vanillin,CP00001101,THRB,9606,associate
vanillin,CP00001101,PRKD2,9606,associate
vanillin,CP00001101,CYP1B1,9606,associate
vanillin,CP00001101,PIM1,9606,associate
vanillin,CP00001101,MAPT,9606,associate
vanillin,CP00001101,ATG4B,9606,associate
vanillin,CP00001101,ESR1,9606,associate
vanillin,CP00001101,RPS6KB1,9606,associate
vanillin,CP00001101,CYP2C9,9606,associate
vanillin,CP00001101,MINK1,9606,associate
vanillin,CP00001101,ABCB1,9606,associate
vanillin,CP00001101,PLK3,9606,associate
vanillin,CP00001101,PBK,9606,associate
vanillin,CP00001101,F3,9606,associate
vanillin,CP00001101,AURKB,9606,associate
vanillin,CP00001101,BRSK1,9606,associate
vanillin,CP00001101,TNFRSF1A,9606,associate
vanillin,CP00001101,NCOA3,9606,associate
vanillin,CP00001101,LCK,9606,associate
vanillin,CP00001101,IRAK1,9606,associate
vanillin,CP00001101,CTDSP1,9606,associate
vanillin,CP00001101,CSNK1G3,9606,associate
vanillin,CP00001101,DRD3,9606,associate
vanillin,CP00001101,AHR,9606,associate
vanillin,CP00001101,PTGES,9606,associate
vanillin,CP00001101,KCNMA1,9606,associate
vanillin,CP00001101,SRPK1,9606,associate
vanillin,CP00001101,PDE4B,9606,associate
vanillin,CP00001101,AKR1B1,9606,associate
vanillin,CP00001101,CAMK2B,9606,associate
vanillin,CP00001101,CSNK1G2,9606,associate
vanillin,CP00001101,NOX4,9606,associate
vanillin,CP00001101,DNM1,9606,associate
vanillin,CP00001101,TUBB1,9606,associate
vanillin,CP00001101,DAPK3,9606,associate
vanillin,CP00001101,MAP4K4,9606,associate
vanillin,CP00001101,PRKAA1,9606,associate
vanillin,CP00001101,RPS6KA3,9606,associate
vanillin,CP00001101,PSMD14,9606,associate
vanillin,CP00001101,CYP19A1,9606,associate
vanillin,CP00001101,SENP7,9606,associate
vanillin,CP00001101,DYRK3,9606,associate
vanillin,CP00001101,CSNK1G1,9606,associate
vanillin,CP00001101,CDC7,9606,associate
vanillin,CP00001101,PTK2B,9606,associate
vanillin,CP00001101,PIM2,9606,associate
vanillin,CP00001101,GPR55,9606,associate
