Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
xanthatin,CP04450546,HMOX1,9606,associate
xanthatin,CP04450546,GADD45G,9606,associate
xanthatin,CP04450546,CCNB1,9606,associate
xanthatin,CP04450546,IL1B,9606,associate
xanthatin,CP04450546,SLC7A13,9606,associate
xanthatin,CP04450546,FOS,9606,associate
xanthatin,CP04450546,CHEK2,9606,associate
xanthatin,CP04450546,CDK1,9606,associate
xanthatin,CP04450546,CHEK1,9606,associate
xanthatin,CP04450546,TOP2A,9606,associate
xanthatin,CP04450546,PTGS2,9606,associate
xanthatin,CP04450546,XBP1,9606,associate
xanthatin,CP04450546,MAOB,9606,associate
xanthatin,CP04450546,MDM2,9606,associate
xanthatin,CP04450546,CA1,9606,associate
xanthatin,CP04450546,SLCO1B3,9606,associate
xanthatin,CP04450546,CHRM4,9606,associate
xanthatin,CP04450546,GPR55,9606,associate
xanthatin,CP04450546,TRPA1,9606,associate
xanthatin,CP04450546,CDC25A,9606,associate
xanthatin,CP04450546,HKDC1,9606,associate
xanthatin,CP04450546,SLCO1B1,9606,associate
xanthatin,CP04450546,CASP3,9606,associate
xanthatin,CP04450546,HTR2C,9606,associate
xanthatin,CP04450546,ACHE,9606,associate
xanthatin,CP04450546,CTDSP1,9606,associate
xanthatin,CP04450546,NR3C1,9606,associate
xanthatin,CP04450546,AKR1B1,9606,associate
xanthatin,CP04450546,APOBEC3G,9606,associate
xanthatin,CP04450546,RARB,9606,associate
xanthatin,CP04450546,PTPN1,9606,associate
xanthatin,CP04450546,CA9,9606,associate
xanthatin,CP04450546,CTSF,9606,associate
xanthatin,CP04450546,CHRM1,9606,associate
xanthatin,CP04450546,DYRK3,9606,associate
xanthatin,CP04450546,SENP8,9606,associate
xanthatin,CP04450546,DNMT1,9606,associate
xanthatin,CP04450546,HSD11B1,9606,associate
xanthatin,CP04450546,MIF,9606,associate
xanthatin,CP04450546,GSK3B,9606,associate
xanthatin,CP04450546,AKT1,9606,associate
xanthatin,CP04450546,ITGAL,9606,associate
xanthatin,CP04450546,F9,9606,associate
xanthatin,CP04450546,RXRA,9606,associate
xanthatin,CP04450546,METAP2,9606,associate
xanthatin,CP04450546,INSR,9606,associate
xanthatin,CP04450546,ATM,9606,associate
xanthatin,CP04450546,NR1I2,9606,associate
xanthatin,CP04450546,MAPKAPK3,9606,associate
xanthatin,CP04450546,CASP8,9606,associate
xanthatin,CP04450546,SLC6A3,9606,associate
xanthatin,CP04450546,CA5A,9606,associate
xanthatin,CP04450546,STAT1,9606,associate
xanthatin,CP04450546,OPRK1,9606,associate
xanthatin,CP04450546,SRPK1,9606,associate
xanthatin,CP04450546,GRM1,9606,associate
xanthatin,CP04450546,GPR119,9606,associate
xanthatin,CP04450546,PTGDR,9606,associate
xanthatin,CP04450546,MTNR1A,9606,associate
xanthatin,CP04450546,NEK2,9606,associate
xanthatin,CP04450546,APP,9606,associate
xanthatin,CP04450546,F2R,9606,associate
xanthatin,CP04450546,GSK3A,9606,associate
xanthatin,CP04450546,CA2,9606,associate
xanthatin,CP04450546,ESR1,9606,associate
xanthatin,CP04450546,GRIA4,9606,associate
xanthatin,CP04450546,MMP8,9606,associate
xanthatin,CP04450546,TLR9,9606,associate
xanthatin,CP04450546,PLA2G1B,9606,associate
xanthatin,CP04450546,BRD2,9606,associate
xanthatin,CP04450546,MCL1,9606,associate
xanthatin,CP04450546,ICMT,9606,associate
xanthatin,CP04450546,AURKA,9606,associate
xanthatin,CP04450546,FEN1,9606,associate
xanthatin,CP04450546,CNR2,9606,associate
xanthatin,CP04450546,CYP19A1,9606,associate
xanthatin,CP04450546,CSF1R,9606,associate
xanthatin,CP04450546,HSP90AB1,9606,associate
xanthatin,CP04450546,KCNH2,9606,associate
xanthatin,CP04450546,DPP4,9606,associate
xanthatin,CP04450546,PRKCA,9606,associate
xanthatin,CP04450546,PDE7A,9606,associate
xanthatin,CP04450546,CASP1,9606,associate
xanthatin,CP04450546,ABCB11,9606,associate
xanthatin,CP04450546,CSNK1G1,9606,associate
xanthatin,CP04450546,GRM5,9606,associate
xanthatin,CP04450546,MGLL,9606,associate
xanthatin,CP04450546,MET,9606,associate
xanthatin,CP04450546,PTGER1,9606,associate
xanthatin,CP04450546,ADRA2A,9606,associate
xanthatin,CP04450546,CSNK2A1,9606,associate
xanthatin,CP04450546,BACE1,9606,associate
xanthatin,CP04450546,TNKS2,9606,associate
xanthatin,CP04450546,FKBP1A,9606,associate
xanthatin,CP04450546,PLK4,9606,associate
xanthatin,CP04450546,ABCG2,9606,associate
xanthatin,CP04450546,CA12,9606,associate
xanthatin,CP04450546,TGFBR2,9606,associate
xanthatin,CP04450546,STK4,9606,associate
xanthatin,CP04450546,VCAM1,9606,associate
xanthatin,CP04450546,ADCY1,9606,associate
xanthatin,CP04450546,ADAMTS4,9606,associate
xanthatin,CP04450546,CFTR,9606,associate
xanthatin,CP04450546,CYP11B2,9606,associate
xanthatin,CP04450546,GGPS1,9606,associate
xanthatin,CP04450546,CACNA1B,9606,associate
xanthatin,CP04450546,FGF1,9606,associate
xanthatin,CP04450546,FCER2,9606,associate
xanthatin,CP04450546,FOLR1,9606,associate
