Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
atractylenolide III,CP00125477,ALOX5,9606,inhibit
atractylenolide III,CP00125477,PTGS1,9606,inhibit
atractylenolide III,CP00125477,NR1H4,9606,associate
atractylenolide III,CP00125477,PMPCB,9606,associate
atractylenolide III,CP00125477,ALOX15,9606,associate
atractylenolide III,CP00125477,AEN,9606,associate
atractylenolide III,CP00125477,PLA2G4A,9606,associate
atractylenolide III,CP00125477,PGR,9606,associate
atractylenolide III,CP00125477,NR1H4,9606,inhibit
atractylenolide III,CP00125477,HSD11B1,9606,associate
atractylenolide III,CP00125477,PTPN1,9606,associate
atractylenolide III,CP00125477,SLCO1B1,9606,associate
atractylenolide III,CP00125477,XBP1,9606,associate
atractylenolide III,CP00125477,SLCO1B3,9606,associate
atractylenolide III,CP00125477,OPRK1,9606,associate
atractylenolide III,CP00125477,ESR2,9606,associate
atractylenolide III,CP00125477,CYP19A1,9606,associate
atractylenolide III,CP00125477,ELANE,9606,associate
atractylenolide III,CP00125477,ESR1,9606,associate
atractylenolide III,CP00125477,AR,9606,associate
atractylenolide III,CP00125477,OPRM1,9606,associate
atractylenolide III,CP00125477,NR1I2,9606,associate
atractylenolide III,CP00125477,SRD5A2,9606,associate
atractylenolide III,CP00125477,PRKCA,9606,associate
atractylenolide III,CP00125477,ABCB1,9606,associate
atractylenolide III,CP00125477,ALOX5,9606,associate
atractylenolide III,CP00125477,CHRM2,9606,associate
atractylenolide III,CP00125477,PDE10A,9606,associate
atractylenolide III,CP00125477,HTR2C,9606,associate
atractylenolide III,CP00125477,PRKCH,9606,associate
atractylenolide III,CP00125477,NAT1,9606,associate
atractylenolide III,CP00125477,CYP3A4,9606,associate
atractylenolide III,CP00125477,REN,9606,associate
atractylenolide III,CP00125477,PTGS1,9606,associate
atractylenolide III,CP00125477,CTDSP1,9606,associate
atractylenolide III,CP00125477,SRMS,9606,associate
atractylenolide III,CP00125477,KDM4B,9606,associate
atractylenolide III,CP00125477,NR3C1,9606,associate
atractylenolide III,CP00125477,CYP24A1,9606,associate
atractylenolide III,CP00125477,PABPC1,9606,associate
atractylenolide III,CP00125477,NOS3,9606,associate
atractylenolide III,CP00125477,RARG,9606,associate
atractylenolide III,CP00125477,APOBEC3G,9606,associate
atractylenolide III,CP00125477,F2,9606,associate
atractylenolide III,CP00125477,CA2,9606,associate
atractylenolide III,CP00125477,SRD5A1,9606,associate
atractylenolide III,CP00125477,CA13,9606,associate
atractylenolide III,CP00125477,TNKS,9606,associate
atractylenolide III,CP00125477,PTGS2,9606,associate
atractylenolide III,CP00125477,MAP4K4,9606,associate
atractylenolide III,CP00125477,OPRD1,9606,associate
atractylenolide III,CP00125477,PIK3CA,9606,associate
atractylenolide III,CP00125477,PDE5A,9606,associate
atractylenolide III,CP00125477,PIK3CG,9606,associate
atractylenolide III,CP00125477,SHBG,9606,associate
atractylenolide III,CP00125477,CNR2,9606,associate
atractylenolide III,CP00125477,KCNH2,9606,associate
atractylenolide III,CP00125477,PNP,9606,associate
atractylenolide III,CP00125477,FUCA1,9606,associate
atractylenolide III,CP00125477,CHRM3,9606,associate
atractylenolide III,CP00125477,BMP2K,9606,associate
atractylenolide III,CP00125477,PAK5,9606,associate
atractylenolide III,CP00125477,RARA,9606,associate
atractylenolide III,CP00125477,ALK,9606,associate
atractylenolide III,CP00125477,PREP,9606,associate
atractylenolide III,CP00125477,OPRL1,9606,associate
atractylenolide III,CP00125477,TNKS2,9606,associate
atractylenolide III,CP00125477,RPS6KA5,9606,associate
atractylenolide III,CP00125477,CES2,9606,associate
atractylenolide III,CP00125477,HTR2B,9606,associate
atractylenolide III,CP00125477,HCRTR1,9606,associate
atractylenolide III,CP00125477,GLRA1,9606,associate
atractylenolide III,CP00125477,TGFBR2,9606,associate
atractylenolide III,CP00125477,STK4,9606,associate
atractylenolide III,CP00125477,VCAM1,9606,associate
atractylenolide III,CP00125477,ADCY1,9606,associate
atractylenolide III,CP00125477,ADAMTS4,9606,associate
atractylenolide III,CP00125477,CFTR,9606,associate
atractylenolide III,CP00125477,CYP11B2,9606,associate
atractylenolide III,CP00125477,GGPS1,9606,associate
atractylenolide III,CP00125477,CACNA1B,9606,associate
atractylenolide III,CP00125477,FGF1,9606,associate
atractylenolide III,CP00125477,FCER2,9606,associate
atractylenolide III,CP00125477,FOLR1,9606,associate
atractylenolide III,CP00125477,ALOX5AP,9606,associate
atractylenolide III,CP00125477,PDK2,9606,associate
atractylenolide III,CP00125477,PHOSPHO1,9606,associate
atractylenolide III,CP00125477,TMPRSS11D,9606,associate
atractylenolide III,CP00125477,TMPRSS6,9606,associate
atractylenolide III,CP00125477,PRKCE,9606,associate
atractylenolide III,CP00125477,ITGA4,9606,associate
atractylenolide III,CP00125477,SSTR3,9606,associate
atractylenolide III,CP00125477,STS,9606,associate
atractylenolide III,CP00125477,SSTR5,9606,associate
atractylenolide III,CP00125477,WNT3A,9606,associate
atractylenolide III,CP00125477,PDE1B,9606,associate
atractylenolide III,CP00125477,PLA2G2A,9606,associate
atractylenolide III,CP00125477,RELA,9606,associate
atractylenolide III,CP00125477,KIF11,9606,associate
atractylenolide III,CP00125477,SERPINE1,9606,associate
atractylenolide III,CP00125477,TXK,9606,associate
atractylenolide III,CP00125477,NAMPT,9606,associate
atractylenolide III,CP00125477,CDK8,9606,associate
atractylenolide III,CP00125477,CHRNA3,9606,associate
atractylenolide III,CP00125477,CYP51A1,9606,associate
vanillic acid,CP00007694,HTT,9606,associate
vanillic acid,CP00007694,ubiC,511145,associate
vanillic acid,CP00007694,TPMT,9606,inhibit
vanillic acid,CP00007694,HDAC10,9606,associate
vanillic acid,CP00007694,PSBO1,3702,inhibit
vanillic acid,CP00007694,ampC,511145,associate
vanillic acid,CP00007694,POLI,9606,associate
vanillic acid,CP00007694,AKR1B1,9606,associate
vanillic acid,CP00007694,ESR1,9606,associate
vanillic acid,CP00007694,LOC101971467,43179,inhibit
vanillic acid,CP00007694,CD93,85066,inhibit
vanillic acid,CP00007694,LOC110232714,1720309,inhibit
vanillic acid,CP00007694,kit,31033,inhibit
vanillic acid,CP00007694,LOC110247086,1720309,inhibit
vanillic acid,CP00007694,LOC101457911,7213,inhibit
vanillic acid,CP00007694,LOC100577393,7460,inhibit
vanillic acid,CP00007694,LOC110248852,1720309,inhibit
vanillic acid,CP00007694,MIR122,9606,associate
vanillic acid,CP00007694,UGT1A10,9606,activate
vanillic acid,CP00007694,PDC,9606,associate
vanillic acid,CP00007694,NOS3,9606,activate
vanillic acid,CP00007694,Olfr73,10090,activate
vanillic acid,CP00007694,UGT1A7,9606,activate
vanillic acid,CP00007694,ADH5,9606,associate
vanillic acid,CP00007694,TMEM200C,9606,associate
vanillic acid,CP00007694,UGT1A3,9606,activate
vanillic acid,CP00007694,NQO2,9606,associate
vanillic acid,CP00007694,GP9,9606,associate
vanillic acid,CP00007694,UGT1A8,9606,activate
vanillic acid,CP00007694,G6PD,9606,associate
vanillic acid,CP00007694,NOS2,9606,associate
vanillic acid,CP00007694,KAT7,9606,associate
vanillic acid,CP00007694,COMT,9606,associate
vanillic acid,CP00007694,NT5E,9606,associate
vanillic acid,CP00007694,MTR,9606,associate
vanillic acid,CP00007694,ACMSD,9606,associate
vanillic acid,CP00007694,TYR,9606,associate
vanillic acid,CP00007694,APTX,9606,associate
vanillic acid,CP00007694,SYK,9606,associate
vanillic acid,CP00007694,TAAR1,9606,associate
vanillic acid,CP00007694,DAP,9606,associate
vanillic acid,CP00007694,C2,9606,associate
vanillic acid,CP00007694,GPI,9606,associate
vanillic acid,CP00007694,LPO,9606,associate
vanillic acid,CP00007694,PTGS1,9606,associate
vanillic acid,CP00007694,MBD2,9606,associate
vanillic acid,CP00007694,PTGS2,9606,associate
vanillic acid,CP00007694,MIP,9606,associate
vanillic acid,CP00007694,GTF2IRD1,9606,associate
vanillic acid,CP00007694,UROD,9606,associate
vanillic acid,CP00007694,CBR4,9606,associate
vanillic acid,CP00007694,MPO,9606,associate
vanillic acid,CP00007694,AIFM3,9606,associate
vanillic acid,CP00007694,NQO1,9606,associate
vanillic acid,CP00007694,APPL1,9606,associate
vanillic acid,CP00007694,GTPBP1,9606,associate
vanillic acid,CP00007694,NOS3,9606,associate
vanillic acid,CP00007694,TNIP1,9606,associate
vanillic acid,CP00007694,RPS5,9606,associate
vanillic acid,CP00007694,RP2,9606,associate
vanillic acid,CP00007694,SLC25A11,9606,associate
vanillic acid,CP00007694,SLC9A2,9606,associate
vanillic acid,CP00007694,CCNI,9606,associate
vanillic acid,CP00007694,ALG5,9606,associate
vanillic acid,CP00007694,CAT,9606,associate
