Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
elemicin,CP00009169,ALOX5,9606,associate
elemicin,CP00009169,RBL1,9606,associate
elemicin,CP00009169,SP3,9606,associate
elemicin,CP00009169,EPCAM,9606,associate
elemicin,CP00009169,LCN1,9606,associate
elemicin,CP00009169,LOC101001307,9555,associate
elemicin,CP00009169,CYP1A2,9685,associate
elemicin,CP00009169,LOC100389947,9483,associate
elemicin,CP00009169,Scd1,10090,inhibit
elemicin,CP00009169,PCOLCE,9606,associate
elemicin,CP00009169,GGPS1,9606,associate
elemicin,CP00009169,OXNAD1,9606,associate
elemicin,CP00009169,HMGCR,9606,associate
elemicin,CP00009169,SPICE1,9606,associate
elemicin,CP00009169,CYB5R2,9606,associate
elemicin,CP00009169,ZCCHC17,9606,associate
elemicin,CP00009169,CYB5R3,9606,associate
elemicin,CP00009169,CYB5R1,9606,associate
elemicin,CP00009169,CYB5R4,9606,associate
elemicin,CP00009169,SLC29A3,9606,associate
elemicin,CP00009169,CDC37L1,9606,associate
elemicin,CP00009169,ABCB1,9606,associate
elemicin,CP00009169,TUBB1,9606,associate
elemicin,CP00009169,ACHE,9606,associate
elemicin,CP00009169,HTR2B,9606,associate
elemicin,CP00009169,HTR2A,9606,associate
elemicin,CP00009169,ADRA2B,9606,associate
elemicin,CP00009169,ADRA2C,9606,associate
elemicin,CP00009169,ABCG2,9606,associate
elemicin,CP00009169,CYP1A2,9606,associate
elemicin,CP00009169,TNFRSF1A,9606,associate
elemicin,CP00009169,HTR2C,9606,associate
elemicin,CP00009169,CYP1A1,9606,associate
elemicin,CP00009169,GPR55,9606,associate
elemicin,CP00009169,NQO2,9606,associate
elemicin,CP00009169,NCOA3,9606,associate
elemicin,CP00009169,CYP1B1,9606,associate
elemicin,CP00009169,XBP1,9606,associate
elemicin,CP00009169,APOBEC3G,9606,associate
elemicin,CP00009169,CNR2,9606,associate
elemicin,CP00009169,PTGS1,9606,associate
elemicin,CP00009169,GALR3,9606,associate
elemicin,CP00009169,SIGMAR1,9606,associate
elemicin,CP00009169,CA9,9606,associate
elemicin,CP00009169,CYP2D6,9606,associate
elemicin,CP00009169,CYP19A1,9606,associate
elemicin,CP00009169,PTAFR,9606,associate
elemicin,CP00009169,CA14,9606,associate
elemicin,CP00009169,CA1,9606,associate
elemicin,CP00009169,PDGFRB,9606,associate
elemicin,CP00009169,MAOB,9606,associate
elemicin,CP00009169,MAPK10,9606,associate
elemicin,CP00009169,TSSK2,9606,associate
elemicin,CP00009169,TTR,9606,associate
elemicin,CP00009169,PRKCG,9606,associate
elemicin,CP00009169,CNR1,9606,associate
elemicin,CP00009169,ATG4B,9606,associate
elemicin,CP00009169,PDE3A,9606,associate
elemicin,CP00009169,CA2,9606,associate
elemicin,CP00009169,PTPN1,9606,associate
elemicin,CP00009169,AR,9606,associate
elemicin,CP00009169,SLC6A4,9606,associate
elemicin,CP00009169,HRH1,9606,associate
elemicin,CP00009169,BCHE,9606,associate
elemicin,CP00009169,PRKAA1,9606,associate
elemicin,CP00009169,CA4,9606,associate
elemicin,CP00009169,SENP7,9606,associate
elemicin,CP00009169,CACNA1G,9606,associate
elemicin,CP00009169,ADRB2,9606,associate
elemicin,CP00009169,TRPA1,9606,associate
elemicin,CP00009169,HTR1A,9606,associate
elemicin,CP00009169,NOD2,9606,associate
elemicin,CP00009169,MAPK12,9606,associate
elemicin,CP00009169,EBP,9606,associate
elemicin,CP00009169,NOS2,9606,associate
elemicin,CP00009169,TGFBR2,9606,associate
elemicin,CP00009169,SLCO1B1,9606,associate
elemicin,CP00009169,STK4,9606,associate
elemicin,CP00009169,VCAM1,9606,associate
elemicin,CP00009169,ADCY1,9606,associate
elemicin,CP00009169,ADAMTS4,9606,associate
elemicin,CP00009169,CFTR,9606,associate
elemicin,CP00009169,CYP11B2,9606,associate
elemicin,CP00009169,CACNA1B,9606,associate
elemicin,CP00009169,FGF1,9606,associate
elemicin,CP00009169,FCER2,9606,associate
elemicin,CP00009169,FOLR1,9606,associate
elemicin,CP00009169,ALOX5AP,9606,associate
elemicin,CP00009169,PDK2,9606,associate
elemicin,CP00009169,PHOSPHO1,9606,associate
elemicin,CP00009169,TMPRSS11D,9606,associate
elemicin,CP00009169,TMPRSS6,9606,associate
elemicin,CP00009169,PRKCE,9606,associate
elemicin,CP00009169,ITGA4,9606,associate
elemicin,CP00009169,SSTR3,9606,associate
elemicin,CP00009169,STS,9606,associate
elemicin,CP00009169,SSTR5,9606,associate
elemicin,CP00009169,WNT3A,9606,associate
elemicin,CP00009169,PDE1B,9606,associate
elemicin,CP00009169,PLA2G4A,9606,associate
elemicin,CP00009169,PLA2G2A,9606,associate
elemicin,CP00009169,RELA,9606,associate
elemicin,CP00009169,KIF11,9606,associate
elemicin,CP00009169,SERPINE1,9606,associate
elemicin,CP00009169,TXK,9606,associate
elemicin,CP00009169,NAMPT,9606,associate
elemicin,CP00009169,CDK8,9606,associate
elemicin,CP00009169,NR1H4,9606,associate
elemicin,CP00009169,CHRNA3,9606,associate
elemicin,CP00009169,CYP51A1,9606,associate
elemicin,CP00009169,PKN2,9606,associate
elemicin,CP00009169,POLB,9606,associate
elemicin,CP00009169,EP300,9606,associate
elemicin,CP00009169,TPSAB1,9606,associate
elemicin,CP00009169,PIP4K2B,9606,associate
elemicin,CP00009169,DLG4,9606,associate
elemicin,CP00009169,MIF,9606,associate
elemicin,CP00009169,CD74,9606,associate
